報告年度:2022,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1101,台泥,4314312,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),ISO 14064,218480,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),ISO 14064,17428,台泥台灣個體公司(涵蓋營運企業團總部、研究室、2座水泥廠),ISO 14064,0.8033,產品
1102,亞泥,2924606.47,亞洲水泥個體公司,ISO 14064,184773.12,亞洲水泥個體公司,ISO 14064,97238.86,亞洲水泥個體公司,ISO 14064,0.839,產品
1103,嘉泥,834.85,包含合併財務報表之母子公司,ISO 14064,6807.564,包含合併財務報表之母子公司,ISO 14064,1956.697,包含合併財務報表之母子公司,ISO 14064,0.0043,百萬元營業額
1104,環泥,34528.6595,母公司,,20707.6029,母公司,,無，無統計相關數據,,,0.0123,新台幣千元產值                                                                                                                                                                                          
1108,幸福,526010,幸福水泥(股)公司東澳廠,ISO 14064,38629,幸福水泥(股)公司東澳廠,ISO 14064,無，無統計相關數據,,,0.52,產品
1109,信大,479891.48,母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,37922.41,母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,13837.24,母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,75.12,百萬元營業額
1110,東泥,2570,僅母公司,,17073,僅母公司,,無，2022年無排定，2023年開始盤查,,,0.033,總生產量(噸)                                                                                                                                                                                            
1201,味全,11760.225,"1.母公司(公司、中央研究所、營業所、台中廠、斗六廠、高雄廠) 2.直接擁有或控制的排放源所直接排放的溫室氣體   含2-1營業所/工廠購汽油柴油鍋爐天燃氣等排放及辦公室人員活動之溫室氣體排放   含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。",,20663.67,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠) 2.外購電力產生溫室氣體排放",,"無，1.價值鏈上發生的所有間接排放，包括上游和下游的排放而在範疇2中並未包括。 2.母公司未盤查範疇(三)上游運輸/通勤商旅/下游運輸等間接溫室氣體排放。",,,4,百萬元營業額
1203,味王,5754.821,僅母公司,,10013.07,僅母公司,,無，無統計相關數據,,,4.395,百萬元營業額
1210,大成,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1213,大飲,705.75,僅母公司,,無，NA,,,無，NA,,,無，NA,
1215,卜蜂,34271,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,,41031,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,,無，無統計相關數據,,,5.2,南投肉食品加工廠:5.2噸CO2e/百萬營收 ; 飼料廠:0.0258噸CO2e/產量(噸)                                                                                                                                      
1216,統一,63364.6428,僅母公司,ISO 14064,100999.4293,僅母公司,ISO 14064,1430005.667,僅母公司,ISO 14064,35.21,營業收入千萬元                                                                                                                                                                                          
1217,愛之味,1074.813,母公司之天然氣,,12998.871,母公司之外購電力、外購蒸氣,,無，無統計相關數據,,,1.9282,產品
1218,泰山,3407.8805,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,,6607.7418,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,,1912.9643,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,,1.0416,百萬元營業額
1219,福壽,7577.835,資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠),ＩＳＯ　１４０６４－１                                                                                                                                                                                  ,11729.383,資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠),ＩＳＯ　１４０６４－１                                                                                                                                                                                  ,4079.832,資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠),ＩＳＯ　１４０６４－１                                                                                                                                                                                  ,1.43,千元營業額                                                                                                                                                                                              
1220,台榮,15738.2868,本公司雲林廠,ISO 14064 part I                                                                                                                                                                                        ,15266.6927,本公司雲林廠,ISO 14064 part I                                                                                                                                                                                        ,無，無統計相關數據,,,0.27,產品
1225,福懋油,3304.51,母公司,,2861.48,母公司,,無，無統計相關數據,,,無，無統計相關數據,
1227,佳格,11520,佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠,,16213,佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠,,3993,佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠,,0.0174,萬元營業額                                                                                                                                                                                              
