"報告年度:2022","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開)","員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開)","非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)","非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)","管理職女性主管占比-管理職女性主管占比","職業災害人數及比率-人數","職業災害人數及比率-比率"
"=""1101""","台泥","1189","991","1030","922","27.00%","5","0.43%"
"=""1102""","亞泥","1326","1184","1056","930","22.31%","0","0.00%"
"=""1103""","嘉泥","1188","947","873","805","13.50%","0","0.00%"
"=""1104""","環泥","899","840","796","724","7.00%","1","0.20%"
"=""1108""","幸福","736","610","580","521","28.57%","2","0.44%"
"=""1109""","信大","752","617","642","607","16.00%","1","0.00%"
"=""1110""","東泥","831","665","630","607","18.18%","1","0.96%"
"=""1201""","味全","887","744","734","675","28.38%","9","0.63%"
"=""1203""","味王","677","590","609","579","9.70%","10","1.40%"
"=""1210""","大成","809","681","710","600","19.00%","21","0.92%"
"=""1213""","大飲","492","412","404","384","25.00%","0","0.00%"
"=""1215""","卜蜂","899","773","665","508","30.82%","28","1.26%"
"=""1216""","統一","1371","1209","1183","1012","29.07%","1","0.02%"
"=""1217""","愛之味","793","660","688","590","34.09%","4","0.71%"
"=""1218""","泰山","1387","1241","1049","853","25.21%","3","0.43%"
"=""1219""","福壽","831","689","682","625","12.80%","3","0.50%"
"=""1220""","台榮","658","541","571","537","13.79%","2","1.00%"
"=""1225""","福懋油","890","746","695","621","10.00%","0","0.00%"
"=""1227""","佳格","1078","888","856","767","39.00%","12","0.90%"
"=""1229""","聯華","3098","2800","749","680","25.00%","0","0.00%"
"=""1231""","聯華食","831","695","686","582","39.00%","19","0.82%"
"=""1232""","大統益","1982","1742","1585","1362","26.09%","0","0.00%"
"=""1233""","天仁","501","417","544","487","50.00%","5","0.36%"
"=""1234""","黑松","953","790","816","733","15.12%","0","0.00%"
"=""1235""","興泰","526","444","421","440","33.33%","0","0.00%"
"=""1236""","宏亞","613","505","500","440","46.00%","6","0.79%"
"=""1256""","鮮活果汁-KY","","","","","36.11%","29","2.99%"
"=""1301""","台塑","1621","1434","1398","1270","7.30%","2","0.18%"
"=""1303""","南亞","1233","1080","1238","1161","4.85%","5","0.04%"
"=""1304""","台聚","1674","1411","1513","1376","0.66%","0","0.00%"
"=""1305""","華夏","1102","919","942","904","6.33%","3","0.44%"
"=""1307""","三芳","990","852","731","694","6.40%","11","3.30%"
"=""1308""","亞聚","1654","1411","1490","1407","2.70%","0","0.00%"
"=""1309""","台達化","1291","1084","1100","1039","15.38%","0","0.00%"
"=""1310""","台苯","1185","930","883","793","22.58%","0","0.00%"
"=""1312""","國喬","1022","847","878","774","27.27%","2","0.53%"
"=""1313""","聯成","1554","1310","1165","1072","30.60%","0","0.00%"
"=""1314""","中石化","978","817","953","869","14.00%","0","0.00%"
"=""1315""","達新","761","643","604","535","44.52%","0","0.00%"
"=""1316""","上曜","1519","1385","640","511","23.81%","0","0.00%"
"=""1319""","東陽","745","626","684","582","13.60%","0","0.00%"
"=""1321""","大洋","902","745","800","738","8.16%","5","1.10%"
"=""1323""","永裕","701","592","596","508","26.84%","4","0.56%"
"=""1324""","地球","713","595","536","446","32.25%","0","0.00%"
"=""1325""","恆大","566","457","470","405","66.67%","0","0.00%"
"=""1326""","台化","1645","1427","1409","1283","4.63%","3","0.06%"
"=""1337""","再生-KY","","","","","14.29%","0","0.00%"
"=""1338""","廣華-KY","","","","","17.70%","0","0.00%"
"=""1339""","昭輝","772","638","648","495","21.43%","1","0.36%"
"=""1340""","勝悅-KY","","","","","0.00%","0","0.00%"
"=""1341""","富林-KY","","","","","23.53%","7","0.74%"
"=""1342""","八貫","905","806","669","538","40.00%","6","1.60%"
"=""1402""","遠東新","1315","1130","1011","864","30.00%","77","0.35%"
"=""1409""","新纖","890","755","744","618","10.43%","5","0.25%"
"=""1410""","南染","671","572","526","528","33.00%","0","0.00%"
"=""1413""","宏洲","789","665","678","607","23.00%","1","0.45%"
"=""1414""","東和","640","523","575","529","16.67%","1","0.44%"
"=""1416""","廣豐","1583","1392","803","940","33.33%","0","0.00%"
"=""1417""","嘉裕","694","577","525","473","48.00%","5","1.50%"
"=""1418""","東華","1071","931","594","515","16.67%","0","0.00%"
"=""1419""","新紡","890","760","721","610","50.00%","2","0.36%"
"=""1423""","利華","715","599","520","481","33.33%","2","3.64%"
"=""1432""","大魯閣","477","385","516","425","33.30%","1","0.00%"
"=""1434""","福懋","616","519","590","523","5.00%","9","0.28%"
"=""1435""","中福","1593","1493","849","740","0.00%","0","0.00%"
"=""1436""","華友聯","1256","1066","871","819","41.18%","0","0.00%"
"=""1437""","勤益控","2806","2546","614","412","67.00%","0","0.00%"
"=""1438""","三地開發","1340","1184","523","521","25.00%","0","0.00%"
"=""1439""","雋揚","957","774","711","700","60.00%","0","0.00%"
"=""1440""","南紡","795","670","621","546","10.33%","6","0.60%"
"=""1441""","大東","1060","886","661","633","13.60%","0","0.00%"
"=""1442""","名軒","1205","998","874","819","60.00%","0","0.00%"
"=""1443""","立益物流","824","699","637","623","36.00%","0","0.00%"
"=""1444""","力麗","689","552","595","519","24.07%","1","0.06%"
"=""1445""","大宇","692","586","600","515","13.00%","0","0.00%"
"=""1446""","宏和","764","645","608","504","14.29%","0","0.00%"
"=""1447""","力鵬","759","606","607","538","20.00%","1","0.08%"
"=""1449""","佳和","587","489","515","462","25.27%","2","0.24%"
"=""1451""","年興","788","667","594","535","11.11%","2","0.28%"
"=""1452""","宏益","799","659","601","511","35.00%","7","3.06%"
"=""1453""","大將","730","589","530","481","40.00%","0","0.00%"
"=""1454""","台富","702","582","554","509","28.57%","1","0.00%"
"=""1455""","集盛","769","652","651","569","14.29%","1","0.08%"
"=""1456""","怡華","936","803","558","547","17.00%","0","0.00%"
"=""1457""","宜進","1214","1035","798","715","53.00%","0","0.00%"
"=""1459""","聯發","645","531","487","432","16.67%","0","0.00%"
"=""1460""","宏遠","720","583","550","509","3.89%","19","0.35%"
"=""1463""","強盛新","667","574","550","520","28.57%","0","0.00%"
"=""1464""","得力","709","613","589","549","30.91%","16","1.85%"
"=""1465""","偉全","696","588","581","492","25.00%","0","0.00%"
"=""1466""","聚隆","722","593","604","551","35.00%","6","1.10%"
"=""1467""","南緯","945","802","708","603","54.00%","2","1.00%"
"=""1468""","昶和","724","593","544","470","20.00%","0","0.00%"
"=""1470""","大統新創","686","588","553","471","34.00%","0","0.00%"
"=""1471""","首利","1127","965","764","756","27.00%","0","0.00%"
"=""1472""","三洋實業","932","756","600","527","25.00%","0","0.00%"
"=""1473""","台南","809","701","558","463","80.76%","1","0.26%"
"=""1474""","弘裕","727","625","598","520","19.48%","14","2.81%"
"=""1475""","業旺","1046","861","545","545","10.00%","0","0.00%"
"=""1476""","儒鴻","1223","1076","1000","880","35.30%","1","0.06%"
"=""1477""","聚陽","2529","2344","1447","1321","54.00%","4","0.50%"
"=""1503""","士電","1217","1074","1049","854","9.00%","0","0.00%"
"=""1504""","東元","1095","944","893","715","22.10%","2","0.04%"
