"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","驗證標準-取得驗證"
"=""1101""","台泥","0.0000","105,940.3500","105,940.3500","台灣及中國大陸水泥事業，包含台灣及中國大陸之水泥廠與營運辦公室、台灣製品廠(不含轄下發貨站)、萬青水泥、Hong Kong Cement","1.5237","公噸/百萬元營業額","ISO 14001"
"=""1102""","亞泥","0.0000","2,772.0000","2,772.0000","亞泥個體公司","0.2480","公噸/百萬元營業額","ISO 9001,ISO 14001"
"=""1103""","嘉泥","0.0000","0.0000","378.0000","合併財報100%範圍","0.1298","公噸/百萬元營業額","ISO 14001"
"=""1104""","環泥","0.0000","12,203.0000","12,203.0000","母公司","0.0026","公噸/新台幣千元產值","確信準則3000號「非屬歷史性財務資訊查核或核閱之確信案件」"
"=""1108""","幸福","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1109""","信大","0.0000","118.9800","118.9800","母公司包含台北總公司、宜蘭南聖湖工廠、太白山礦區","0.0180","公噸/百萬元營業額","N/A"
"=""1110""","東泥","0.0000","49.6600","49.6600","母公司","0.0001","公噸/產品","N/A"
"=""1201""","味全","1.3720","11,587.7000","11,589.0720","母公司","0.0849","公噸/產品","ISO 14001"
"=""1203""","味王","2.7000","648.4000","651.1000","本公司豐田廠","0.2900","公噸/百萬元營業額","N/A"
"=""1210""","大成","0.0000","33,334.4760","33,334.4760","大成長城母公司","N/A","N/A","N/A"
"=""1213""","大飲","0.0000","42.6770","42.6770","永大環保、宸羽環保","0.3038","公噸/百萬元營業額","N/A"
"=""1215""","卜蜂","0.0000","22,291.0000","22,291.0000","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","N/A","N/A","其他"
"=""1216""","統一","2.0000","40,957.0000","40,959.0000","母公司","8.4300","公噸/千萬元營業額","N/A"
"=""1217""","愛之味","0.0000","2,618.4000","2,618.4000","磅單聯單","0.3566","公噸/產品","N/A"
"=""1218""","泰山","4.0000","1,500.0000","1,504.0000","食品廠","1.7965","公噸/產品","N/A"
"=""1219""","福壽","0.0000","5,821.9300","5,821.9300","母公司福壽實業與子公司洽富","0.3569","公噸/百萬元營業額","N/A"
"=""1220""","台榮","0.0000","636.5000","636.5000","本公司雲林廠+路竹廠","0.0044","公噸/產品","N/A"
"=""1225""","福懋油","0.2370","667.2750","667.5120","母公司(總廠及台中港廠)","N/A","N/A","N/A"
"=""1227""","佳格","5.1300","5,877.2350","5,882.3650","佳格食品股份有限公司大園廠、中壢廠及佳乳食品股份有限公司湖口廠","0.3675","公噸/百萬元營業額","ISO 14001"
"=""1229""","聯華","0.0000","306.6330","306.6330","母公司-聯華實業投資控股(股)公司 以及   子公司-聯華製粉食品(股)公司、聯華置產(股)公司","0.0393","公噸/百萬元營業額","N/A"
"=""1231""","聯華食","0.0000","8,023.7200","8,023.7200","本公司在臺灣的各工廠為主","0.7400","公噸/百萬元營業額","N/A"
"=""1232""","大統益","0.0000","2,335.0000","2,335.0000","僅母公司","0.1263","公噸/百萬元營業額","ISO 14001"
"=""1233""","天仁","0.0000","1,206.1986","1,206.1986","統計範圍以總公司、工廠(含茶文化園區)、直營據點(百貨商場門市)，未包含海內外子公司，並以部分據點合約量及營業額推算。","0.5767","公噸/百萬元營業額","N/A"
"=""1234""","黑松","0.0000","2,697.0000","2,697.0000","中壢廠、斗六廠","0.0135","公噸/產品","N/A"
"=""1235""","興泰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1236""","宏亞","0.0000","540.9700","540.9700","母子公司","N/A","N/A","ISO 14001"
"=""1256""","鮮活果汁-KY","1.2542","6,264.8070","6,266.0612","鮮活控股股份有限公司旗下主要營運所在地之蘇州鮮活飲品股份有限公司","1.6089","公噸/百萬元營業額","N/A"
"=""1301""","台塑","2,988.0000","213,956.0000","216,944.0000","母公司","1.4428","公噸/百萬元營業額","N/A"
"=""1303""","南亞","17,019.4800","79,026.0800","96,045.5600","母公司。","0.7900","公噸/百萬元營業額","ISO 14001"
"=""1304""","台聚","78.2200","450.2400","528.4600","高雄廠","0.0020","公噸/產品","ISO 14001"
"=""1305""","華夏","197.9500","4,725.9300","4,923.8800","華夏頭份總廠、台氯林園廠、華聚林園廠","0.0053","公噸/產品","ISO 14001"
"=""1307""","三芳","257.0000","639.0000","896.0000","個體母公司","N/A","N/A","N/A"
"=""1308""","亞聚","0.0000","575.0400","575.0400","林園廠","0.0040","公噸/產品","ISO 14001"
"=""1309""","台達化","0.0000","3,986.9000","3,986.9000","前鎮廠、林園廠、頭份廠及中山廠","0.0089","公噸/產品","ISO 14001"
"=""1310""","台苯","0.0000","4,709.9980","4,709.9980","台苯高雄廠(高雄市林園區工業一路7號)","0.0175","公噸/產品","ISO 14001"
"=""1312""","國喬","0.0000","18,745.5100","18,745.5100","僅母公司","1.4670","公噸/百萬元營業額","ISO 14001"
"=""1313""","聯成","475.9500","2,959.2400","3,435.1900","母公司","N/A","N/A","N/A"
"=""1314""","中石化","25,930.0000","15,103.0000","41,033.0000","生產廠區","1.5500","公噸/百萬元營業額","ISO 14001"
"=""1315""","達新","0.0000","2.3500","2.3500","母公司","N/A","N/A","N/A"
"=""1316""","上曜","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1319""","東陽","274.0000","2,666.0000","2,940.0000","台灣營運地區（台南總部、桃園觀音廠、台北辦事處）","0.1615","公噸/百萬元營業額","ISO 9001,ISO 14001"
"=""1321""","大洋","9.3200","606.1700","615.4900","母公司 ","0.0044","公噸/產品","N/A"
"=""1323""","永裕","0.0000","102.0400","102.0400","合併財務報表之母公司","0.0605","公噸/百萬元營業額","N/A"
"=""1324""","地球","174.9200","78.2700","253.1900","母公司","0.2749","公噸/百萬元營業額","N/A"
"=""1325""","恆大","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1326""","台化","17.0000","169,330.0000","169,347.0000","112年母公司及台醋公司之台灣廠區","77.8100","公噸/ 億元營業額","N/A"
"=""1337""","再生-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1338""","廣華-KY","250.9180","902.4100","1,153.3280","子公司東莞廣澤汽車飾件有限公司","0.0000","公噸/產品","N/A"
"=""1339""","昭輝","N/A","N/A","85.7800","N/A","N/A","N/A","N/A"
"=""1340""","勝悅-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1341""","富林-KY","552.5500","7,131.6472","7,684.1972","本公司之子公司(越南海防廠及同奈廠),其中同奈廠數據已經過驗證。","0.6031","KG/KG","Higg Index (FEM)"
"=""1342""","八貫","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1402""","遠東新","12,484.0000","96,608.0000","109,092.0000","本公司生產事業21個生產據點","0.0155","公噸/產品","ISO 9001,ISO 14001"
"=""1409""","新纖","0.0000","7,384.0000","7,384.0000","日期: 2023/01/01 - 2023/12/31","N/A","N/A","N/A"
"=""1410""","南染","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1413""","宏洲","143.1800","26.8300","170.0100","宏洲纖維工業股份有限公司桃園廠","0.0852","公噸/百萬元營業額","N/A"
"=""1414""","東和","0.0000","591.0229","591.0229","麻豆工廠","1.0430","公噸/百萬元營業額","ISO 9001"
"=""1416""","廣豐","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1417""","嘉裕","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1418""","東華","0.0000","0.7800","0.7800","廢棄物清運量","0.0400","公噸/百萬元營業額","N/A"
"=""1419""","新紡","0.0000","169.8300","169.8300","大溪廠及大園廠","0.0537","公噸/百萬元營業額","ISO 9001,ISO 14001"
"=""1423""","利華","N/A","N/A","N/A","N/A","0.0000","公噸/百萬元營業額","N/A"
"=""1432""","大魯閣","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1434""","福懋","912.4200","6,792.9900","7,705.4100","台灣廠區","0.3500","公噸/百萬元營業額","N/A"
"=""1435""","中福","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1436""","華友聯","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1437""","勤益控","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1438""","三地開發","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1439""","雋揚","0.0000","4.5856","4.5856","母公司","N/A","N/A","N/A"
"=""1440""","南紡","0.1600","782.7100","782.8700","本公司個體","0.0832","公噸/百萬元營業額","ISO 14001"
"=""1441""","大東","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1442""","名軒","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1443""","立益物流","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1444""","力麗","0.0000","2,030.3900","2,030.3900","化纖總廠、假撚總廠","N/A","N/A","N/A"
"=""1445""","大宇","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1446""","宏和","0.0000","13.6000","13.6000","母公司","0.1063","公噸/百萬元營業額","N/A"
