"報告年度:2023","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料範圍-資料範圍","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""1101""","台泥","12,657.9320","台灣及中國大陸水泥事業，包含台灣及中國大陸之水泥廠與營運辦公室、台灣製品廠(不含轄下發貨站)、萬青水泥、Hong Kong Cement","0.1821","公噸/百萬元營業額","ISO 46001"
"=""1102""","亞泥","2,636,000.0000","亞洲水泥個體公司","0.8150","公噸/ 噸膠結材","N/A"
"=""1103""","嘉泥","172,835.0000","合併財報100%範圍","59.3611","公噸/百萬元營業額","N/A"
"=""1104""","環泥","287,936.2000","母公司","0.0620","公噸/新台幣千元產值","確信準則3000號「非屬歷史性財務資訊查核或核閱之確信案件」"
"=""1108""","幸福","852,532.0000","本公司東澳廠","1.3644","公噸/產品","N/A"
"=""1109""","信大","307,431.0000","母公司包含台北總公司、宜蘭南聖湖工廠、太白山礦區","49.1100","公噸/百萬元營業額","N/A"
"=""1110""","東泥","11,385.0000","母公司","0.0306","公噸/產品","N/A"
"=""1201""","味全","1,736,971.0000","母公司","12.5100","公噸/產品","N/A"
"=""1203""","味王","294,938.0000","本公司豐田廠","133.0000","公噸/百萬元營業額","N/A"
"=""1210""","大成","1,575,242.0000","大成長城母公司","0.9800","公噸/產品","N/A"
"=""1213""","大飲","83,903.0000","依據生產排程 計算每日用水量。","597.2372","公噸/百萬元營業額","N/A"
"=""1215""","卜蜂","1,073,624.0000","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","N/A","N/A","其他"
"=""1216""","統一","4,318,361.0000","母公司","0.8900","千度/千萬元營業額","N/A"
"=""1217""","愛之味","377,996.0000","水費單","0.0510","百萬公升/產品","N/A"
"=""1218""","泰山","693,490.0000","食品廠","828.3445","公噸/產品","N/A"
"=""1219""","福壽","465,717.0000","母公司與子公司福壽新、萬集盛與洽富","28.5477","公噸/百萬元營業額","子公司洽富取得ISO 14046驗證"
"=""1220""","台榮","694,990.0000","本公司雲林廠+路竹廠","4.8303","公噸/產品","N/A"
"=""1225""","福懋油","N/A","N/A","N/A","N/A","N/A"
"=""1227""","佳格","675,320.0000","佳格食品股份有限公司大園廠、中壢廠及佳乳食品股份有限公司湖口廠","42.3800","公噸/百萬元營業額","N/A"
"=""1229""","聯華","53,221.3864","母公司-聯華實業投資控股(股)公司 以及   子公司-聯華製粉食品(股)公司、聯華置產(股)公司","6.8287","公噸/百萬元營業額","N/A"
"=""1231""","聯華食","555,750.0000","本公司在臺灣的各工廠為主","51.2000","公噸/百萬元營業額","N/A"
"=""1232""","大統益","285,263.0000","僅母公司","15.4295","公噸/百萬元營業額","N/A"
"=""1233""","天仁","94,934.0000","以廠區及直營獨立門市(非商場店)為統計範疇","74.1560","公噸/百萬元營業額","N/A"
"=""1234""","黑松","804,000.0000","母公司(含台北總公司、中壢廠、斗六廠)","4.0186","公噸/產品","N/A"
"=""1235""","興泰","3,599.0000","依112年台灣自來水公司使用度數資訊 ","47.5310","公噸/百萬元營業額","N/A"
"=""1236""","宏亞","47,760.0000","宏亞八德廠","N/A","N/A","N/A"
"=""1256""","鮮活果汁-KY","419,808.0000","鮮活控股股份有限公司旗下主要營運所在地之蘇州鮮活飲品股份有限公司、鮮活果汁工業（天津）有限公司及廣東鮮活果汁生物科技有限公司","90.6328","公噸/百萬元營業額","N/A"
"=""1301""","台塑","22,741,411.0000","母公司","151.2500","公噸/百萬元營業額","ISO14046：2014"
"=""1303""","南亞","11,836,750.0000","僅母公司。","97.7900","公噸/百萬元營業額","ISO 14046"
"=""1304""","台聚","969,538.0000","高雄廠","4.4600","公噸/產品","ISO 46001"
"=""1305""","華夏","2,734,475.9600","華夏頭份總廠、台氯林園廠、華聚林園廠","2.9400","公噸/產品","ISO 46001"
"=""1307""","三芳","140,800.0000","個體母公司","N/A","N/A","N/A"
"=""1308""","亞聚","489,730.0000","林園廠","3.7000","公噸/產品","ISAE 3000"
"=""1309""","台達化","927,767.0000","前鎮廠、林園廠、頭份廠及中山廠","0.9867","公噸/產品","ISAE 3000"
"=""1310""","台苯","1,210,891.0000","高雄廠全廠總用水量","3.7515","公噸/產品","N/A"
"=""1312""","國喬","1,973,000.0000","僅母公司","154.0000","公噸/百萬元營業額","N/A"
"=""1313""","聯成","156,530.0000","母公司","N/A","N/A","N/A"
"=""1314""","中石化","5,881,000.0000","台北總公司及生產廠區","222.7000","公噸/百萬元營業額","ISO 46001"
"=""1315""","達新","8,000.0000","母公司","0.0044","取水量(百萬公升)/組織特定度量值","N/A"
"=""1316""","上曜","3.4140","上裕營造有限公司及永輝室內裝修(股)公司)辦公室、建案接待中心、建案未售房屋及工務所","N/A","N/A","N/A"
"=""1319""","東陽","829,756.0000","台灣營運地區（台南總部、桃園觀音廠、台北辦事處）","45.5773","公噸/百萬元營業額","N/A"
"=""1321""","大洋","119.2000","母公司 ","0.8683","公噸/產品","N/A"
"=""1323""","永裕","74,492.0000","合併財務報表之母公司","44.2011","公噸/百萬元營業額","N/A"
"=""1324""","地球","36,692.7800","母公司","39.8401","公噸/百萬元營業額","N/A"
"=""1325""","恆大","N/A","N/A","N/A","N/A","N/A"
"=""1326""","台化","25,781,200.0000","112年母公司、台化出光及台醋公司之台灣廠區","11,850.9000","公噸/ 億元營業額","ISO 14046:2024"
"=""1337""","再生-KY","N/A","N/A","N/A","N/A","N/A"
"=""1338""","廣華-KY","388,171.0000","子公司東莞廣澤汽車飾件有限公司","0.0068","公噸/產品","N/A"
"=""1339""","昭輝","N/A","N/A","N/A","N/A","N/A"
"=""1340""","勝悅-KY","N/A","N/A","N/A","N/A","N/A"
"=""1341""","富林-KY","142,169.0000","本公司之子公司(越南同奈廠、海防廠) ,其中同奈廠已經驗證","11.1349","公升/KG","Higg Index (FEM)"
"=""1342""","八貫","N/A","N/A","N/A","N/A","N/A"
"=""1402""","遠東新","18,492,000.0000","本公司生產事業21個生產據點","2.6000","公噸/產品","ISO 46001"
