"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""1101""","台泥","3,526,429.6562","母公司及2023年取得ISO 14064認證之子公司，包含台灣通運倉儲公司、台捷通運公司、台泥綠能公司、達和航運公司、達和航運控股公司、巴商德熙國際公司、達和航運(香港)公司、達和航運(新加坡)公司、台泥資訊公司、和平工業區專用港實業公司、萬青水泥公司、鳳勝實業公司、台泥儲能科技公司、能元超商公司、能元科技公司","母公司及2023年取得ISO 14064認證之子公司，包含台灣通運倉儲公司、台捷通運公司、台泥綠能公司、達和航運公司、達和航運控股公司、巴商德熙國際公司、達和航運(香港)公司、達和航運(新加坡)公司、台泥資訊公司、和平工業區專用港實業公司、萬青水泥公司、鳳勝實業公司、台泥儲能科技公司、能元超商公司、能元科技公司","224,308.1432","母公司及2023年取得ISO 14064認證之子公司，包含台灣通運倉儲公司、台捷通運公司、台泥綠能公司、達和航運公司、達和航運控股公司、巴商德熙國際公司、達和航運(香港)公司、達和航運(新加坡)公司、台泥資訊公司、和平工業區專用港實業公司、萬青水泥公司、鳳勝實業公司、台泥儲能科技公司、能元超商公司、能元科技公司","母公司及2023年取得ISO 14064認證之子公司，包含台灣通運倉儲公司、台捷通運公司、台泥綠能公司、達和航運公司、達和航運控股公司、巴商德熙國際公司、達和航運(香港)公司、達和航運(新加坡)公司、台泥資訊公司、和平工業區專用港實業公司、萬青水泥公司、鳳勝實業公司、台泥儲能科技公司、能元超商公司、能元科技公司","6,977,983.2949","母公司及2023年取得ISO 14064認證之子公司，包含台灣通運倉儲公司、台捷通運公司、台泥綠能公司、達和航運公司、達和航運控股公司、巴商德熙國際公司、達和航運(香港)公司、達和航運(新加坡)公司、台泥資訊公司、和平工業區專用港實業公司、萬青水泥公司、鳳勝實業公司、台泥儲能科技公司、能元超商公司、能元科技公司","母公司及2023年取得ISO 14064認證之子公司，包含台灣通運倉儲公司、台捷通運公司、台泥綠能公司、達和航運公司、達和航運控股公司、巴商德熙國際公司、達和航運(香港)公司、達和航運(新加坡)公司、台泥資訊公司、和平工業區專用港實業公司、萬青水泥公司、鳳勝實業公司、台泥儲能科技公司、能元超商公司、能元科技公司","140.4042"
"=""1102""","亞泥","2,639,181.6900","亞洲水泥個體公司","亞洲水泥個體公司","167,144.1000","亞洲水泥個體公司","亞洲水泥個體公司","103,836.5300","亞洲水泥個體公司","亞洲水泥個體公司","251.9100"
"=""1103""","嘉泥","972.7627","合併財報100%範圍","合併財報100%範圍","7,015.3239","合併財報100%範圍","合併財報100%範圍","2,496.1826","合併財報100%範圍","合併財報100%範圍","2.7435"
"=""1104""","環泥","36,156.3199","母公司","母公司","19,673.9336","母公司","母公司","12,636.2711","母公司","母公司","12.0000"
"=""1108""","幸福","572,909.7800","僅母公司","僅母公司","46,704.2000","僅母公司","僅母公司","N/A","N/A","N/A","165.2337"
"=""1109""","信大","552,623.0400","母公司包含台北總公司、宜蘭南聖湖工廠、太白山礦區","母公司包含台北總公司、宜蘭南聖湖工廠、太白山礦區","41,137.3600","母公司包含台北總公司、宜蘭南聖湖工廠、太白山礦區","母公司包含台北總公司、宜蘭南聖湖工廠、太白山礦區","15,311.3800","母公司包含台北總公司、宜蘭南聖湖工廠、太白山礦區","母公司包含台北總公司、宜蘭南聖湖工廠、太白山礦區","97.3000"
"=""1110""","東泥","2,206.9361","僅母公司","僅母公司","11,202.1136","僅母公司","僅母公司","N/A","N/A","N/A","6.5500"
"=""1201""","味全","12,315.6907"," 母公司 ","N/A","20,552.4606","母公司","N/A","N/A","N/A","N/A","4.1302"
"=""1203""","味王","6,510.6800","僅母公司","N/A","4,049.2820","僅母公司","N/A","N/A","N/A","N/A","4.7980"
"=""1210""","大成","27,781.2010","肉品事業處、飼料事業處、養豬事業處等10個邊界","N/A","46,852.5860","肉品事業處、飼料事業處、養豬事業處等10個邊界","N/A","1,368,468.2620","肉品事業處、飼料事業處、養豬事業處等10個邊界","N/A","N/A"
