"報告年度:2024","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料邊界-資料邊界","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""1101""","台泥","15,870,000.0000","台灣與中國大陸水泥事業，包含台泥水泥廠、製品廠及轄下發貨站、粉磨站、辦公室，以及子公司萬青水泥、鳳勝實業、Hong Kong Cement、礦業公司、環保科技公司100%營運據點","250.7999","公噸/百萬元營業額","ISO 46001"
"=""1102""","亞泥","2,590,000.0000","母公司","0.8520","噸-水/噸-水泥膠結材料","ISO 46001"
"=""1103""","嘉泥","164,232.0000","已完成合併財務報表之母子公司","55.0034","公噸/百萬元營業額","N/A"
"=""1104""","環泥","297,000.0000","母公司","48.3792","公噸/百萬元營業額","N/A"
"=""1108""","幸福","N/A","N/A","N/A","N/A","N/A"
"=""1109""","信大","359,119.0000","母公司","0.6124","公噸/產品","N/A"
"=""1110""","東泥","2,458.0000","母公司。","0.0013","公噸/千元營業額","N/A"
"=""1201""","味全","2,045,621.6812","母公司6大單位:總部 中研所 營業所 台中廠 斗六廠 高雄廠","0.2460","百萬公升/佰萬元","N/A"
"=""1203""","味王","341,681.0000","母公司","0.1540","百萬公升／百萬元","N/A"
"=""1210""","大成","620.6245","大成長城母公司與台灣子公司","0.3687","公噸/產品","N/A"
"=""1213""","大飲","90,210.4000","依據生產排程 計算每日用水量。","597.2372","公噸/百萬元營業額","N/A"
"=""1215""","卜蜂","1,084,587.0000","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","N/A","N/A","N/A"
"=""1216""","統一","4,592,406.0000","永康總廠、新市總廠(含冰品廠、冷調食品廠)、台中總廠、楊梅總廠(含瑞芳礦泉水廠)及中壢總廠 (含麻豆麵包廠)、TMR、物流倉庫、台北分公司、高雄辦公室、內湖辦公室、五股辦公室、湖口園區(含冰塊廠)等廠區","90.0896","公噸/百萬元營業額","ISO 46001"
"=""1217""","愛之味","389.6480","愛之味股份有限公司","0.0900","公噸/百萬元營業額","N/A"
"=""1218""","泰山","N/A","N/A","0.0327","公噸/百萬元營業額","N/A"
"=""1219""","福壽","445,185.0000","母公司與子公司福壽新、萬集盛與洽富","31.0600","公噸/百萬元營業額","N/A"
"=""1220""","台榮","746,930.0000","本公司雲林廠+高雄廠","2.7770","公噸/百萬元營業額","N/A"
"=""1225""","福懋油","N/A","N/A","N/A","N/A","N/A"
"=""1227""","佳格","652,320.0000","佳格食品集團 母公司：佳格食品股份有限公司台北總公司及6處營業所、大園廠(含宿舍)及中壢廠 子公司：佳乳食品股份有限公司湖口廠","40.3890","公噸/百萬元營業額","N/A"
"=""1229""","聯華","52,449.9000","母公司-聯華實業投資控股(股)公司 以及   子公司-聯華製粉食品(股)公司、聯華置產(股)公司","6.5513","公噸/百萬元營業額","N/A"
"=""1231""","聯華食","600.6600","本公司在臺灣的各工廠為主","0.0492","公噸/百萬元營業額","N/A"
"=""1232""","大統益","266,636.0000","僅母公司","16.0915","公噸/百萬元營業額","N/A"
"=""1233""","天仁","94,481.0000","包括國內非商場門市據點、總公司、工廠、業務中心、茶文化館、子公司等，共61處。","80.6937","公噸/百萬元營業額","N/A"
"=""1234""","黑松","764,000.0000","母公司(含台北總公司、中壢廠、斗六廠)","3.8668","公噸/產品","N/A"
"=""1235""","興泰","3,065.0000","依113年台灣自來水公司使用度數資訊 ","27.1966","公噸/百萬元營業額","N/A"
"=""1236""","宏亞","90,668.0000","桃園工廠","45.8300","公噸/百萬元營業額","N/A"
"=""1256""","鮮活果汁-KY","393,519.0000","鮮活控股股份有限公司旗下主要營運所在地之蘇州鮮活飲品股份有限公司、鮮活果汁工業（天津）有限公司及廣東鮮活果汁生物科技有限公司。","98.2997","公噸/百萬元營業額","N/A"
"=""1301""","台塑","21,901,600.0000","母公司","0.1500","百萬公升/個體財報營收百萬元","ISO 14046:2014"
"=""1303""","南亞","15,959,684.0504","南亞母公司+台灣子公司","107.8975","公噸/百萬元營業額","ISO 46001,ISO 14046"
"=""1304""","台聚","938,423.0000","台聚高雄廠","4.9655","公噸/產品","ISO 46001"
"=""1305""","華夏","2,594,867.4286","華夏頭份總廠、台氯林園廠、華聚林園廠","3.5967","公噸/產品","ISO 46001"
"=""1307""","三芳","142,200.0000","母公司","231.5500","公噸/百萬元營業額","N/A"
"=""1308""","亞聚","485,689.0000","林園廠","3.7046","公噸/產品","N/A"
"=""1309""","台達化","1,073,092.1786","林園廠/前鎮廠/頭份廠/中山廠","2.1644","公噸/產品","ISAE 3000"
"=""1310""","台苯","1,179,166.3180","台苯高雄廠(高雄市林園區工業一路7號)","3.7947","公噸/產品","N/A"
"=""1312""","國喬","207,004,000.0000","僅限國喬石油化學(股)公司高雄廠","15,898.6268","公噸/百萬元營業額","N/A"
"=""1313""","聯成","249,910.0000","林園廠、臨海廠","2.1800","公噸/產品","N/A"
"=""1314""","中石化","3,114,000.0000","主要生產廠及台北總公司","0.2154","公噸/百萬元營業額","ISO 46001"
"=""1315""","達新","11,283.0000","母公司","0.0063","取水量(百萬公升)/組織特定度量值","N/A"
"=""1316""","上曜","485.0000","上曜建設及營造相關子公司上裕營造及永輝室內裝修辦公室","0.3178","公噸/百萬元營業額","N/A"
"=""1319""","東陽","818,455.0000","台灣營運地區（台南總部、桃園觀音廠、台北辦事處）","41.2902","公噸/百萬元營業額","N/A"
"=""1321""","大洋","147.4600","母公司","1.1206","公噸/產品","N/A"
"=""1323""","永裕","69,260.0000","已完成母公司 ","46.1385","公噸/百萬元營業額","N/A"
"=""1324""","地球","10,312.6400","總公司（含台中營業所及高雄營業所)、幼獅一廠及幼獅二廠","12.9719","公噸/百萬元營業額","N/A"
"=""1325""","恆大","N/A","N/A","N/A","N/A","N/A"
"=""1326""","台化","N/A","N/A","N/A","N/A","N/A"
"=""1337""","再生-KY","N/A","N/A","N/A","N/A","N/A"
"=""1338""","廣華-KY","318,479.0000","東莞廣澤汽車飾件有限公司","453.7200","公噸/百萬元營業額","N/A"
"=""1339""","昭輝","113,455.0000","母公司","72.7275","公噸/百萬元營業額","N/A"
"=""1340""","勝悅-KY","N/A","N/A","N/A","N/A","N/A"
"=""1341""","富林-KY","58.0994","海防總公司  同奈分公司  台灣分公司","0.0208","公噸/百萬元營業額","N/A"
"=""1342""","八貫","N/A","N/A","N/A","N/A","N/A"
"=""1402""","遠東新","991,732,000.0000","本公司生產事業主要據點","149.1100","公噸/產品","ISO 46001"
"=""1409""","新纖","1,777,600.0000","新光合成纖維股份有限公司","N/A","N/A","N/A"
"=""1410""","南染","14,580.0000","全廠區用水","56.9531","公噸/百萬元營業額","N/A"
"=""1413""","宏洲","212,570.0000","宏洲纖維工業份有限公司桃園廠","92.1812","公噸/百萬元營業額","N/A"
"=""1414""","東和","31.5800","麻豆工廠","0.0600","公噸/百萬元營業額","N/A"
"=""1416""","廣豐","3,126.5204","廣豐實業宗公司與各子公司","9.3746","公噸/百萬元營業額","N/A"
"=""1417""","嘉裕","54,717.0000","台北總公司及桃園中壢廠，不包含營業門市。","123.5147","公噸/百萬元營業額","N/A"
"=""1418""","東華","540.6000","新竹廠區","52.7400","公噸/百萬元營業額","N/A"
"=""1419""","新紡","30,634.0000","大溪廠及大園廠","7.6854","公噸/百萬元營業額","N/A"
"=""1423""","利華","N/A","N/A","0.0199","公噸/百萬元營業額","N/A"
"=""1432""","大魯閣","91,658.6087","大魯閣實業本體","80.2553","公噸/百萬元營業額","N/A"
"=""1434""","福懋","5,931,000.0000","母公司","278.4100","公噸/百萬元營業額","ISO 46001"
"=""1435""","中福","173.7800","母公司","0.1627","公噸/百萬元營業額","N/A"
"=""1436""","華友聯","0.1707","已完成母公司","N/A","N/A","N/A"
"=""1437""","勤益控","N/A","N/A","N/A","N/A","N/A"
"=""1438""","三地開發","255.1400","母公司","N/A","N/A","N/A"
"=""1439""","雋揚","N/A","N/A","N/A","N/A","N/A"
"=""1440""","南紡","605,150.0000","僅母公司","80.0000","公噸/百萬元營業額","ISO14001、確信準則3000號「非屬歷史性財務資訊查核或核閱之確信案件」"
"=""1441""","大東","N/A","N/A","N/A","N/A","N/A"
"=""1442""","名軒","209.2820","母公司","N/A","N/A","N/A"
"=""1443""","立益物流","N/A","N/A","N/A","N/A","N/A"
"=""1444""","力麗","379,955.4000","彰化廠區","1.8227","公噸/產品","N/A"
"=""1445""","大宇","72,630.0000","數據揭露範疇包含總公司、蘆竹廠及彰濱廠。","73.4288","公噸/百萬元營業額","N/A"
"=""1446""","宏和","11,874.0000","母公司","3.2319","公噸/百萬元營業額","N/A"
"=""1447""","力鵬","4,917,249.0000","楊梅廠區、彰化尼龍總廠、彰化紡織廠 ","141.1979","公噸/百萬元營業額","N/A"
"=""1449""","佳和","1,890,382.0000","佳和官田廠","232.7771","公噸/產品","N/A"
"=""1451""","年興","2,105,734.0000","台灣後龍廠區+越南成衣廠區+墨西哥紡織廠+賴索托成衣廠+賴索托紡織廠","327.9622","公噸/百萬元營業額","N/A"
"=""1452""","宏益","44,731.0000","已完成母公司","1.8441","公噸/產品","N/A"
"=""1453""","大將","262.5000","本公司營運據點","13.1250","公噸/服務","N/A"
"=""1454""","台富","400.1520","母公司","0.2465","公噸/百萬元營業額","N/A"
"=""1455""","集盛","588,123.0000","一至五廠區","3.2855","公噸/產品","N/A"
"=""1456""","怡華","1,978,789.0000","台南官田廠","N/A","N/A","1.經濟部發布之用水回收率查驗作業指引 2.用水計畫審核管理辦法 3.耗水費徵收管理辦法"
"=""1457""","宜進","2,570.0000","「宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司) 台北公司","2.9204","公噸/百萬元營業額","N/A"
"=""1459""","聯發","2,924.0000","工廠","6.1400","公噸/百萬元營業額","N/A"
"=""1460""","宏遠","1,786,500.0000","母公司","162.9360","公噸/產品","N/A"
"=""1463""","強盛新","592,000.0000","母公司","N/A","N/A","N/A"
"=""1464""","得力","N/A","N/A","0.4850","公升/碼","N/A"
"=""1465""","偉全","N/A","N/A","N/A","N/A","N/A"
"=""1466""","聚隆","189,199.0000","母公司","79.5578","公噸/百萬元營業額","N/A"
"=""1467""","南緯","38,090.0000","台灣總部、越南產區","23.2900","公噸/百萬元營業額","N/A"
"=""1468""","昶和","1,097,466.7328","本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_台北辦事處、昶和纖維興業股份有限公司_南崁","64.4633","公噸/百萬元營業額","N/A"
"=""1470""","大統新創","664,534.0000","母公司桃園廠","180.0000","公噸/產品","N/A"
"=""1471""","首利","N/A","N/A","N/A","N/A","N/A"
"=""1472""","三洋實業","10,104.6489","三洋實業及子公司總部據點及各施工案場","43.2661","公噸/百萬元營業額","N/A"
"=""1473""","台南","N/A","N/A","N/A","N/A","N/A"
"=""1474""","弘裕","718,147.0000","弘裕企業公司(伸港廠、全興廠、和美廠)","343.1606","公噸/百萬元營業額","N/A"
"=""1475""","業旺","0.1996","母公司","0.0001","公噸/百萬元營業額","N/A"
"=""1476""","儒鴻","2,713,122.0000","包含合併財務報表之母子公司","73.6691","公噸/百萬元營業額","N/A"
"=""1477""","聚陽","6,825,100.0000","包含合併財務報表之母子公司","192.1264","公噸/百萬元營業額","ISO 14046(驗證範圍-聚陽台北總公司) 、ISAE3000(下述資料邊界範圍)"
"=""1503""","士電","196.5600","四大事業群(三廠區)及台北總部，不包含及各地分公司；台北總部取水量以仰德大樓每月之自來水水費單分配計算。","0.0069","百萬公升/百萬元","AA1000AS v3 第二類型中度保證等級"
"=""1504""","東元","80,020.0000","台灣地區、大陸/越南地區、美國地區、義大利地區 ","1.5000","公噸/百萬元營業額","N/A"
"=""1506""","正道","43,240.0000","正道工業(股)公司台灣仁德廠區及馬來西亞廠區","41.7125","公噸/百萬元營業額","N/A"
"=""1512""","瑞利","N/A","N/A","N/A","N/A","N/A"
"=""1513""","中興電","125,925.0000","113年度","4.8926","公噸/百萬元營業額","N/A"
"=""1514""","亞力","26,748.5821","本公司以下營運據點：亞力電機股份有限公司新莊廠、亞力電機股份有限公司楊梅廠、亞力電機股份有限公司總公司","3.1865","公噸/百萬元營業額","ISO 14001"
"=""1515""","力山","12,336.0000","母公司+子公司力山科技","2.0226","公噸/百萬元營業額","N/A"
"=""1516""","川飛","N/A","N/A","N/A","N/A","N/A"
"=""1517""","利奇","3,564.8571","母公司","2.7485","公噸/百萬元營業額","N/A"
"=""1519""","華城","55.1150","包含合併財務報表之母子公司","47.1875","N/A","N/A"
"=""1521""","大億","50,462.0000","總公司：台南市南區新信路11號 安工廠：台南市南區新樂路39號1-3樓","13.6476","公噸/百萬元營業額","N/A"
"=""1522""","堤維西","109,300.0000","安平廠及科工1、科工2、科工3 廠","0.8175","百萬公升／億元營收","N/A"
"=""1524""","耿鼎","70,368.0000","母公司","0.0331","公噸/產品","N/A"
"=""1525""","江申","23,337.0000","母公司","2.5500","公噸/產品","N/A"
"=""1526""","日馳","9,129.0000","日馳企業股份有限公司","18.6165","公噸/百萬元營業額","N/A"
