"報告年度:2024","議題:持股及控制力"
"公司代號","公司名稱","前10大股東持股情況-前10大股東持股情況"
"=""1101""","台泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1101_20250527F17.pdf"
"=""1102""","亞泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1102_20250528F17.pdf"
"=""1103""","嘉泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1103_20250516F17.pdf"
"=""1104""","環泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1104_20250526F17.pdf"
"=""1108""","幸福","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1108_20250627F17.pdf"
"=""1109""","信大","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1109_20250619F17.pdf"
"=""1110""","東泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1110_20250613F17.pdf"
"=""1201""","味全","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1201_20250623F17.pdf"
"=""1203""","味王","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1203_20250625F17.pdf"
"=""1210""","大成","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1210_20250617F17.pdf"
"=""1213""","大飲","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1213_20250611F17.pdf"
"=""1215""","卜蜂","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1215_20250528F17.pdf"
"=""1216""","統一","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1216_20250529F17.pdf"
"=""1217""","愛之味","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1217_20250625F17.pdf"
"=""1218""","泰山","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1218_20250529F17.pdf"
"=""1219""","福壽","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1219_20250523F17.pdf"
"=""1220""","台榮","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1220_20250625F17.pdf"
"=""1225""","福懋油","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1225_20250626F17.pdf"
"=""1227""","佳格","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1227_20250619F17.pdf"
"=""1229""","聯華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1229_20250526F17.pdf"
"=""1231""","聯華食","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1231_20250619F17.pdf"
"=""1232""","大統益","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1232_20250520F17.pdf"
"=""1233""","天仁","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1233_20250613F17.pdf"
"=""1234""","黑松","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1234_20250616F17.pdf"
"=""1235""","興泰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1235_20250619F17.pdf"
"=""1236""","宏亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1236_20250618F17.pdf"
"=""1256""","鮮活果汁-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1256_20250529F17.pdf"
"=""1301""","台塑","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1301_20250611F17.pdf"
"=""1303""","南亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1303_20250612F17.pdf"
"=""1304""","台聚","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1304_20250529F17.pdf"
"=""1305""","華夏","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1305_20250527F17.pdf"
"=""1307""","三芳","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1307_20250611F17.pdf"
"=""1308""","亞聚","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1308_20250528F17.pdf"
"=""1309""","台達化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1309_20250528F17.pdf"
"=""1310""","台苯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1310_20250528F17.pdf"
"=""1312""","國喬","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1312_20250620F17.pdf"
"=""1313""","聯成","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1313_20250528F17.pdf"
"=""1314""","中石化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1314_20250515F17.pdf"
"=""1315""","達新","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1315_20250620F17.pdf"
"=""1316""","上曜","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1316_20250522F17.pdf"
"=""1319""","東陽","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1319_20250619F17.pdf"
"=""1321""","大洋","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1321_20250604F17.pdf"
"=""1323""","永裕","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1323_20250604F17.pdf"
"=""1324""","地球","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1324_20250610F17.pdf"
"=""1325""","恆大","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1325_20250620F17.pdf"
"=""1326""","台化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1326_20250610F17.pdf"
"=""1337""","再生-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1337_20250613F17.pdf"
"=""1338""","廣華-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1338_20250523F17.pdf"
"=""1339""","昭輝","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1339_20250529F17.pdf"
"=""1340""","勝悅-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1340_20250616F17.pdf"
"=""1341""","富林-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1341_20250529F17.pdf"
"=""1342""","八貫","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1342_20250522F17.pdf"
"=""1402""","遠東新","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1402_20250529F17.pdf"
"=""1409""","新纖","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1409_20250527F17.pdf"
"=""1410""","南染","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1410_20250613F17.pdf"
"=""1413""","宏洲","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1413_20250528F17.pdf"
"=""1414""","東和","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1414_20250616F17.pdf"
"=""1416""","廣豐","N/A"
"=""1417""","嘉裕","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1417_20250522F17.pdf"
"=""1418""","東華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1418_20250610F17.pdf"
"=""1419""","新紡","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1419_20250526F17.pdf"
"=""1423""","利華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1423_20250617F17.pdf"
"=""1432""","大魯閣","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1432_20250526F17.pdf"
"=""1434""","福懋","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1434_20250620F17.pdf"
"=""1435""","中福","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1435_20250620F17.pdf"
"=""1436""","華友聯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1436_20250522F17.pdf"
"=""1437""","勤益控","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1437_20250605F17.pdf"
"=""1438""","三地開發","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1438_20250623F17.pdf"
