報告年度:2021,議題:廢棄物管理,,,,,,,
公司代號,公司名稱,有害廢棄物(公噸(t))-有害廢棄物(公噸(t)),非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t)),資料範圍-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證-取得驗證
1101,台泥,0,2883.55,2883.55,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),0.0005,產品,ISO 14001
1102,亞泥,0,0,3816,亞泥個體公司,0.001,產品,ISO14001、ISO9001                                                                                                                                                                                       
1103,嘉泥,0,0,239.975,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,0.0001,"營業額 2,042,623 (仟元)                                                                                                                                                                                 ",
1104,環泥,0,656.4,656.4,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,0.0002,產值(新台幣千元)                                                                                                                                                                                        ,
1108,幸福,無，本公司於生產水泥之熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。,無，本公司於生產水泥之熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。,無，本公司於生產水泥之熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。,,無，無統計相關數據,,
1109,信大,0,0,116.96,僅信大母公司南聖湖工廠,無，無統計相關數據,,
1110,東泥,0,84.79,84.79,工廠,0.0001,產品,
1201,味全,1.32,4384.23,4385.55,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。 2.110年廢棄物重量為4385.55公噸，包含非有害廢棄物4384.23公噸及有廢棄物1.32公噸。   廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及堆肥自行處理為主、焚化處理次之)。 3.110年廢棄物回收再利用及堆肥量等共計4225.51公噸，資源回收再利用率為 96.4%。",0.029,產品,ISO 14001
1203,味王,3.2,974.6,977.8,一般廢棄物+實驗廢液,0.44,營業額,
1210,大成,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1213,大飲,72.13,12.155,84.285,僅母公司,無，NA,,NA                                                                                                                                                                                                      
1215,卜蜂,0,30071.6,30071.6,南投肉食品加工廠、台中飼料廠、高雄飼料廠,無，無統計相關數據,,
1216,統一,3,35751,35754,僅母公司,8.39,營業收入千萬元                                                                                                                                                                                          ,ISO 14001
1217,愛之味,0,2665.5,2665.5,母公司之污泥、廢食用油、菜渣、生活垃圾、資源回收,0.376,產品,
1218,泰山,0,1452.99,1452.99,泰山公司所屬田中食品廠、田中油脂廠、水產飼料廠、北斗牧場,0.3819,營業額,
1219,福壽,0.105,459.94,460.045,母公司、子公司,0,營業額,
1220,台榮,0,2015.865,2015.865,本公司雲林廠及高雄飼料廠,76.4312,營業額(億元)                                                                                                                                                                                            ,
1225,福懋油,0.26,627.25,627.51,涵蓋範圍:僅母公司,無，無統計相關數據,,
1227,佳格,3.31,5344,5347.31,佳格母公司,0.0043,萬元營業額                                                                                                                                                                                              ,ISO 14001
1229,聯華,0,282.99,282.99,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司",0.045,營業額;單位為新台幣佰萬元                                                                                                                                                                               ,
1231,聯華食,0,7104.78,7104.78,臺灣地區的總公司及各工廠之所有營運相關之活動,0.7476,百萬營業額                                                                                                                                                                                              ,
1232,大統益,0,1951,1951,僅母公司,0.002,黃豆總加工量                                                                                                                                                                                            ,ISO 14001
1233,天仁,0,0,1350,本公司天仁茶業股份有限公司直營單位,1.5205,分母以營業額為百萬元之計算                                                                                                                                                                              ,
1234,黑松,0.8,2614,2614.8,中壢廠,0.01,產品,
1235,興泰,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1236,宏亞,0,424.72,424.72,母公司,0,營業額,
1256,鮮活果汁-KY,1.0241,1962.608,1963.6321,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,0.0005,營業額,
1301,台塑,2928,235519,238447,母公司,113.18,廢棄物總量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.81                                                                                                                                   ,
1303,南亞,6023.3,122868,128891.3,母公司,0.0006,單位:公噸/110年個體營業額(千元)。                                                                                                                                                                       ,ISO 14001
1304,台聚,22.23,868.59,890.82,台聚高雄廠,0.0036,產品,ISO 14001                                                                                                                                                                                               
1305,華夏,38.31,3401.9,3440.21,華夏頭份廠、華聚林園廠、台氯林園廠。,0.003,產品,ISO 14001
1307,三芳,0,0,2153,母公司,2.85,百萬營業額                                                                                                                                                                                              ,
1308,亞聚,0,395.56,395.56,亞聚林園廠,0.0029,產品,ISO 14001
1309,台達化,0,3587,3587,前鎮廠、林園廠、頭份廠、中山廠,0.0068,產品,ISO 14001
1310,台苯,5.13,14367.38,14372.51,台苯高雄廠,0.04,產品,
1312,國喬,0,0,30077.09,國喬石油化學股份有限公司高雄廠,1.66,營業額,
1313,聯成,311,1702,2013,聯成林園廠,無，無統計相關數據,,
1314,中石化,37654,49540,87194,僅母公司,0,"廢棄物總量:87194公噸，營業收入:35,163,380仟元                                                                                                                                                           ",ISO 14001
1315,達新,0,133,133,母公司,無，無統計相關數據,,
1316,上曜,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1319,東陽,392,3047,3439,母公司,0.25,百萬營業額                                                                                                                                                                                              ,
1321,大洋,11.95,655.36,667.31,母公司,0.0046,產品,
1323,永裕,0,91.78,91.78,"台灣永裕: 一般垃圾 80.185噸 非有害事業廢棄物10.095公噸 上海永裕: 311.363噸 威瑪:1.5噸",0.0001,台灣永裕+上海永裕 (90.28+311.363)/(1907428千元+1281058千元)=0.000125                                                                                                                                    ,
1324,地球,97.98,89.25,187.23,母公司(幼一二廠),0,營業額,ISO 14001
1325,恆大,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1326,台化,61,286944,287005,110年母公司及台醋公司之台灣廠區,118,營業額億元                                                                                                                                                                                              ,ISO 14001
1337,再生-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1338,廣華-KY,144.4,325.36,469.76,僅重要子公司東莞廣澤汽車飾件有限公司,0.003,平方米(建築面積)                                                                                                                                                                                        ,
1339,昭輝,128.28,9.4,137.68,母公司,無，無統計相關數據,,
1340,勝悅-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1341,富林-KY,356.255,2833.2,3189.455,僅子公司同奈廠,0.2085,產品,ISO 14001
1342,八貫,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1402,遠東新,17480,191108,208588,統計範疇共21個生產據點,0.0271,產品,ISO 14001
1409,新纖,0,1743.2,1743.2,新光合纖中壢廠,無，無統計相關數據,,
1410,南染,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1413,宏洲,0,0,71.51,僅母公司,0.0004,產品,
1414,東和,0,129,129,本公司,無，無統計相關數據,,
1416,廣豐,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1417,嘉裕,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1418,東華,0,9,9,本公司新竹廠,無，本公司(廠)110年度壓克力纖維(棉)製程停工,,
1419,新紡,0,36.11,36.11,母公司生產區域,0,產品,
1423,利華,0,5.58,5.58,母公司,0,元營業額                                                                                                                                                                                                ,
1432,大魯閣,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1434,福懋,20324,2532,22856,台灣廠區,0.93,營業額 百萬元(新台幣)                                                                                                                                                                                   ,
1435,中福,0,0.323,0.323,僅母公司,0.026,無生產活動，以平均每月生活廢棄物量計算                                                                                                                                                                  ,
1436,華友聯,0,0,3782,僅母公司,無，無統計相關數據,,
1437,勤益控,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1438,三地開發,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，詳年報說明,,
1439,雋揚,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1440,南紡,36.31,564,600.31,仁德廠+太子廠,0.0019,產量公噸                                                                                                                                                                                                ,ISO 14001
1441,大東,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1442,名軒,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1443,立益物流,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1444,力麗,0,3934,3934,母公司各廠區,無，無統計相關數據,,
1445,大宇,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1446,宏和,0,8.58,8.58,母公司,8.4,噸                                                                                                                                                                                                      ,
1447,力鵬,429,8156,8585,母公司各廠區,無，無統計相關數據,,
1449,佳和,0,310,310,母公司,0.016,產品,
1451,年興,0,1841,1841,2021年,0.0002,仟元營業額                                                                                                                                                                                              ,
1452,宏益,0,6.8,6.8,包含合併財務報表之母子公司,0.0002,產品,
1453,大將,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1454,台富,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1455,集盛,0,1762.73,1762.73,母公司之5個紡織製品製造廠區,0.01,產品,
1456,怡華,0,132,132,台南官田廠,0.013,一般廢棄物                                                                                                                                                                                              ,
1457,宜進,無，大樓物業清潔收走,無，大樓物業清潔收走,無，大樓物業清潔收走,,無，無統計相關數據,,
1459,聯發,0,56.14,56.14,工廠,0.0023,產品,
1460,宏遠,0,10770.24,10770.24,母公司,無，無統計相關數據,,
1463,強盛新,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1464,得力,0,3627.3,3627.3,僅母公司,3627.3,產品,ISO 14001
1465,偉全,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1466,聚隆,0,313.3,313.3,母公司,0.0063,產品,
1467,南緯,0.042,26.16,26.202,母公司,無，無統計相關數據,,
1468,昶和,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1470,大統新創,0,2415,2415,合併財務報表之母子公司之桃園廠區,0.33,產量                                                                                                                                                                                                    ,
1471,首利,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1472,三洋實業,無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。,無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。,無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。,,無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。,,
1473,台南,1019.37,651.27,1670.64,包含合併財務報表之母子公司,0.08,產品,
1474,弘裕,0,786,786,母公司,無，無統計相關數據,,
1475,業旺,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，詳年報說明,,
1476,儒鴻,0,0,9682.659,包含合併財務報表之母子公司,0.0003,營業額,
1477,聚陽,0,0,22.91,台北總公司,0.0008,營業額(百萬元)                                                                                                                                                                                          ,
1503,士電,1.9,738.84,740.74,"環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。",無，無統計相關數據,,
1504,東元,10.35,3015.22,3025.57,台灣所有廠區,13.2,營業額,
1506,正道,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1512,瑞利,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1513,中興電,0.048,435.571,435.619,母公司110年度,0.0241,營業額,ISO 14001
1514,亞力,0,70.6,70.6,母公司,無，無統計相關數據,,
1515,力山,無，資料尚在驗證,無，資料尚在驗證,無，資料尚在驗證,,無，資料尚在驗證,,
1516,川飛,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1517,利奇,0,0,50.7334,母公司,無，無統計相關數據,,
1519,華城,0,0,918.52,僅母公司,0.1461,產品,ISO 14001
1521,大億,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1522,堤維西,0,585.51,585.51,110年,5.16,營業額,
1524,耿鼎,0,209.83,209.83,母子公司,0.0181,產能總重                                                                                                                                                                                                ,
1525,江申,0,222.9,222.9,母公司,0.175,公噸/百萬元營業額                                                                                                                                                                                       ,
