"報告年度:2021","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""1101""","台泥","15","5","4","27.00%","96.19%","100.00%"
"=""1102""","亞泥","14","3","0","0.00%","97.00%","100.00%"
"=""1103""","嘉泥","7","3","0","0.00%","95.92%","100.00%"
"=""1104""","環泥","7","3","0","0.00%","100.00%","100.00%"
"=""1108""","幸福","7","3","2","28.57%","100.00%","100.00%"
"=""1109""","信大","9","3","1","11.11%","93.88%","22.22%"
"=""1110""","東泥","10","3","1","10.00%","97.50%","100.00%"
"=""1201""","味全","9","3","0","0.00%","95.60%","100.00%"
"=""1203""","味王","15","3","1","6.70%","74.40%","13.30%"
"=""1210""","大成","10","3","0","0.00%","96.67%","100.00%"
"=""1213""","大飲","9","3","1","11.00%","93.00%","11.00%"
"=""1215""","卜蜂","8","3","0","0.00%","87.50%","100.00%"
"=""1216""","統一","13","3","3","22.08%","98.90%","100.00%"
"=""1217""","愛之味","9","3","0","0.00%","85.48%","60.19%"
"=""1218""","泰山","9","3","1","11.11%","100.00%","44.44%"
"=""1219""","福壽","9","3","3","33.33%","94.44%","100.00%"
"=""1220""","台榮","12","3","2","16.67%","96.55%","8.33%"
"=""1225""","福懋油","9","3","2","22.22%","100.00%","100.00%"
"=""1227""","佳格","7","3","1","14.29%","80.00%","42.86%"
"=""1229""","聯華","10","3","1","10.00%","93.00%","100.00%"
"=""1231""","聯華食","9","3","2","22.20%","100.00%","100.00%"
"=""1232""","大統益","11","3","0","0.00%","97.00%","100.00%"
"=""1233""","天仁","7","2","0","0.00%","97.14%","100.00%"
"=""1234""","黑松","14","3","3","21.40%","92.00%","100.00%"
"=""1235""","興泰","7","3","1","14.29%","98.81%","57.14%"
"=""1236""","宏亞","6","3","3","50.00%","95.83%","100.00%"
"=""1256""","鮮活果汁-KY","8","3","2","25.00%","100.00%","100.00%"
"=""1301""","台塑","15","4","2","13.00%","91.43%","100.00%"
"=""1303""","南亞","15","3","2","13.00%","97.78%","100.00%"
"=""1304""","台聚","9","3","0","0.00%","97.78%","100.00%"
"=""1305""","華夏","9","3","0","0.00%","97.78%","100.00%"
"=""1307""","三芳","7","3","0","0.00%","96.80%","100.00%"
"=""1308""","亞聚","9","3","0","0.00%","100.00%","100.00%"
"=""1309""","台達化","9","5","1","11.00%","98.15%","81.82%"
"=""1310""","台苯","11","3","0","0.00%","100.00%","100.00%"
"=""1312""","國喬","7","3","1","14.29%","96.43%","100.00%"
"=""1313""","聯成","10","3","0","0.00%","100.00%","100.00%"
"=""1314""","中石化","9","3","1","11.11%","94.21%","100.00%"
"=""1315""","達新","8","3","0","0.00%","96.83%","100.00%"
"=""1316""","上曜","7","2","0","0.00%","98.41%","100.00%"
"=""1319""","東陽","7","3","1","14.29%","100.00%","0.00%"
"=""1321""","大洋","10","4","2","20.00%","97.00%","100.00%"
"=""1323""","永裕","11","4","0","0.00%","100.00%","100.00%"
"=""1324""","地球","5","3","0","0.00%","100.00%","100.00%"
"=""1325""","恆大","7","3","3","42.86%","97.96%","14.29%"
"=""1326""","台化","15","3","1","6.70%","92.00%","100.00%"
"=""1337""","再生-KY","7","3","0","0.00%","96.43%","100.00%"
"=""1338""","廣華-KY","7","3","0","0.00%","100.00%","100.00%"
"=""1339""","昭輝","9","4","2","2.22%","95.56%","100.00%"
"=""1340""","勝悅-KY","7","3","1","14.28%","100.00%","100.00%"
"=""1341""","富林-KY","7","3","0","0.00%","100.00%","100.00%"
"=""1342""","八貫","7","3","0","0.00%","96.00%","100.00%"
"=""1402""","遠東新","13","3","2","15.00%","91.00%","100.00%"
"=""1409""","新纖","12","3","1","8.33%","97.62%","100.00%"
"=""1410""","南染","7","4","0","0.00%","77.55%","71.42%"
"=""1413""","宏洲","9","2","2","22.00%","84.00%","100.00%"
"=""1414""","東和","7","3","1","14.00%","100.00%","71.40%"
"=""1416""","廣豐","8","3","0","0.00%","96.61%","62.50%"
"=""1417""","嘉裕","7","3","2","28.60%","97.62%","100.00%"
"=""1418""","東華","9","2","0","0.00%","94.33%","0.00%"
"=""1419""","新紡","7","3","0","0.00%","98.55%","100.00%"
"=""1423""","利華","5","3","5","100.00%","83.33%","100.00%"
"=""1432""","大魯閣","9","4","2","22.22%","72.73%","100.00%"
"=""1434""","福懋","11","3","1","9.09%","95.00%","100.00%"
"=""1435""","中福","7","3","0","0.00%","95.90%","100.00%"
"=""1436""","華友聯","9","3","0","0.00%","96.30%","100.00%"
"=""1437""","勤益控","7","3","0","0.00%","100.00%","100.00%"
"=""1438""","三地開發","7","3","2","28.57%","0.00%","42.86%"
"=""1439""","雋揚","7","3","1","14.00%","100.00%","100.00%"
"=""1440""","南紡","20","4","5","25.00%","90.00%","100.00%"
"=""1441""","大東","7","3","1","14.29%","100.00%","86.00%"
"=""1442""","名軒","7","3","2","28.57%","100.00%","100.00%"
"=""1443""","立益物流","9","2","0","0.00%","82.00%","11.00%"
"=""1444""","力麗","9","3","1","11.11%","85.47%","100.00%"
"=""1445""","大宇","7","3","0","0.00%","98.63%","27.27%"
"=""1446""","宏和","9","3","2","22.22%","81.82%","55.56%"
"=""1447""","力鵬","9","3","2","22.22%","95.72%","100.00%"
"=""1449""","佳和","11","3","0","0.00%","73.00%","80.00%"
"=""1451""","年興","9","3","0","0.00%","94.95%","100.00%"
"=""1452""","宏益","9","3","1","11.11%","92.06%","100.00%"
"=""1453""","大將","7","3","1","14.29%","96.00%","14.29%"
"=""1454""","台富","9","2","0","0.00%","100.00%","44.00%"
"=""1455""","集盛","10","3","1","10.00%","100.00%","80.00%"
"=""1456""","怡華","9","2","1","11.00%","100.00%","83.00%"
"=""1457""","宜進","9","3","3","33.33%","81.00%","100.00%"
"=""1459""","聯發","9","3","0","0.00%","96.30%","100.00%"
"=""1460""","宏遠","11","3","0","0.00%","90.90%","100.00%"
"=""1463""","強盛新","7","2","1","11.11%","97.22%","44.44%"
"=""1464""","得力","7","3","0","0.00%","100.00%","100.00%"
"=""1465""","偉全","7","3","1","14.29%","97.62%","100.00%"
"=""1466""","聚隆","10","3","2","20.00%","98.00%","100.00%"
"=""1467""","南緯","11","3","1","9.09%","100.00%","0.00%"
"=""1468""","昶和","7","3","1","14.28%","100.00%","100.00%"
"=""1470""","大統新創","11","3","0","0.00%","100.00%","27.30%"
"=""1471""","首利","7","3","2","28.57%","88.89%","42.86%"
"=""1472""","三洋實業","7","3","1","14.28%","92.06%","57.14%"
"=""1473""","台南","11","3","4","36.36%","88.91%","100.00%"
"=""1474""","弘裕","11","3","1","9.09%","96.49%","45.45%"
"=""1475""","業旺","5","3","1","20.00%","100.00%","40.00%"
"=""1476""","儒鴻","12","4","1","8.33%","100.00%","100.00%"
"=""1477""","聚陽","15","3","6","40.00%","97.80%","100.00%"
"=""1503""","士電","14","3","0","0.00%","91.07%","100.00%"
"=""1504""","東元","11","4","2","18.18%","99.19%","90.91%"
"=""1506""","正道","9","3","1","11.11%","96.67%","100.00%"
"=""1512""","瑞利","7","3","0","0.00%","87.76%","0.00%"
"=""1513""","中興電","9","3","1","11.11%","98.15%","100.00%"
"=""1514""","亞力","12","3","2","16.66%","90.41%","16.66%"
"=""1515""","力山","9","4","1","11.11%","97.56%","55.56%"
"=""1516""","川飛","8","3","2","25.00%","100.00%","75.00%"
"=""1517""","利奇","7","3","4","57.00%","100.00%","100.00%"
"=""1519""","華城","9","3","0","0.00%","100.00%","100.00%"
"=""1521""","大億","9","3","1","11.00%","75.56%","66.67%"
"=""1522""","堤維西","9","3","0","0.00%","96.30%","100.00%"
"=""1524""","耿鼎","10","2","1","14.28%","82.86%","30.00%"
"=""1525""","江申","9","2","1","11.11%","100.00%","100.00%"
"=""1526""","日馳","9","4","3","33.33%","100.00%","100.00%"
"=""1527""","鑽全","11","3","1","9.10%","85.71%","45.45%"
"=""1528""","恩德","7","3","1","14.00%","100.00%","100.00%"
"=""1529""","樂事綠能","11","3","1","9.10%","81.00%","9.10%"
"=""1530""","亞崴","7","3","0","0.00%","97.00%","100.00%"
"=""1531""","高林股","7","3","2","28.57%","69.05%","100.00%"
"=""1532""","勤美","9","3","2","22.00%","85.24%","100.00%"
"=""1533""","車王電","8","3","1","9.09%","100.00%","100.00%"
"=""1535""","中宇","11","3","1","9.09%","95.45%","100.00%"
"=""1536""","和大","13","3","3","23.00%","90.77%","100.00%"
"=""1537""","廣隆","9","3","0","0.00%","100.00%","100.00%"
"=""1538""","正峰","5","2","0","0.00%","95.74%","28.57%"
"=""1539""","巨庭","7","3","2","29.00%","94.00%","100.00%"
"=""1540""","喬福","7","3","1","14.29%","100.00%","0.00%"
