"報告年度:2022","議題:能源管理"
"公司代號","公司名稱","使用率(再生能源/總能源)-使用率(再生能源/總能源)","資料範圍-資料範圍","取得驗證-取得驗證"
"=""1101""","台泥","0.0060","台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、24座製品廠、子公司和平電力)","ISO 50001"
"=""1102""","亞泥","0.0000","亞洲水泥個體公司","ISO 50001"
"=""1103""","嘉泥","0.0000","嘉泥台灣個體公司","ISO 50001"
"=""1104""","環泥","0.0000","母公司",""
"=""1108""","幸福","無，已申報「再生能源義務用戶執行計劃書」800瓩","",""
"=""1109""","信大","無，本公司擬購置太陽能發電設備，相關發電數據需待設備建置計算。","",""
"=""1110""","東泥","5.2100","僅母公司",""
"=""1201""","味全","無，無統計相關數據","","ISO 50001"
"=""1203""","味王","無，無統計相關數據","",""
"=""1210""","大成","無，無統計相關數據","",""
"=""1213""","大飲","無，NA","",""
"=""1215""","卜蜂","0.0182","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠",""
"=""1216""","統一","0.0300","僅母公司",""
"=""1217""","愛之味","無，無統計相關數據","",""
"=""1218""","泰山","62.3900","計算方式如下表有經過驗算查證。",""
"=""1219""","福壽","無，太陽能發電量均售回台電","","ISO 50001"
"=""1220""","台榮","無，無統計相關數據","",""
"=""1225""","福懋油","0.0000","母公司",""
"=""1227""","佳格","無，無使用再生能源","",""
"=""1229""","聯華","無，目前公司無使用再生能源","",""
"=""1231""","聯華食","無，無統計相關數據","","ISO 50001"
"=""1232""","大統益","無，本公司無使用再生能源","","ISO 50001"
"=""1233""","天仁","無，無統計相關數據","",""
"=""1234""","黑松","0.5600","總公司、中壢廠、斗六廠","ISO 50001"
"=""1235""","興泰","無，無使用再生能源","",""
"=""1236""","宏亞","26.0000","母公司",""
"=""1256""","鮮活果汁-KY","無，無統計相關數據","",""
"=""1301""","台塑","0.0000","母公司",""
"=""1303""","南亞","0.0005","母公司，本公司2022年取得18張綠能憑證(依國家再生能源憑證中心網站)，另已規劃分二階段於各廠區廠房屋頂建置太陽能發電設備，預計設置總容量約58,365KW(含必成公司)，預估占119年台電契約容量18.2%(高於政府用電大戶條款規定的10%)，其中，硬布一廠195KW於2022年7月設備登記核准，已取得再生能源憑證配電盤廠1,500KW投資新台幣0.7億元，並於2022年12月設備登記核准，已取得再生能源憑證。","1.ISO 50001能源管理系統:樹林、林口、嘉義、新港、仁武、林園等廠區中共14生產廠。 2.綠色工廠: 樹林二廠、新港CCL一、三廠。 3.綠建築:銅箔四廠(銀級)；及樹林、新港等3個生產廠。                               "
"=""1304""","台聚","0.0000","台聚高雄廠","ISO 50001"
"=""1305""","華夏","無，再生能源推動  1、華夏公司從自廠屋頂建設太陽光電設備做起，逐步擴大各廠區綠電使用量。華夏頭份廠於2019年於廠區屋頂興建1438kW太陽能設備，2022年實際發電量達123萬度。 2、華夏公司將持續擴增太陽能設備容量，預計於2023年底新增廠內約680kWp太陽能建置。 3、台氯林園廠因無合適之屋頂可建置太陽能設備，目前規劃將於2025年底前外購164萬度綠電及憑證。","","ISO 50001"
"=""1307""","三芳","59.4200","合併財務報表之母子公司)",""
"=""1308""","亞聚","0.0000","亞聚林園廠","ISO 50001"
"=""1309""","台達化","無，台達林園廠規劃2025年前將採購82.5萬度的綠電。","","ISO 50001"
"=""1310""","台苯","無，目前尚無使用再生能源","",""
"=""1312""","國喬","0.0000","僅母公司",""
"=""1313""","聯成","無，無再生能源","","ISO 50001"
"=""1314""","中石化","0.0302","母公司","採用ISO 50001驗證標準，本公司頭份廠、大社廠、小港廠已取得，斗六廠、橋頭廠尚未取得                                                                                                                       "
"=""1315""","達新","7.5200","母公司",""
"=""1316""","上曜","無，未使用","",""
"=""1319""","東陽","無，未使用再生能源","",""
"=""1321""","大洋","無，無統計相關數據","",""
"=""1323""","永裕","0.0000","與台電合作躉售太陽能光電，每年產生綠電約達25000度電以上，但未使用綠電於企業自用。",""
"=""1324""","地球","無，無統計相關數據","",""
"=""1325""","恆大","無，無統計相關數據","",""
"=""1326""","台化","0.1382","111年台化及台醋公司之台灣廠區資料",""
"=""1337""","再生-KY","無，無統計相關數據","",""
"=""1338""","廣華-KY","無，暫未訂定再生物料政策","",""
"=""1339""","昭輝","無，無統計相關數據","",""
"=""1340""","勝悅-KY","無，無統計相關數據","",""
"=""1341""","富林-KY","52.0000","生物質 能源(壓榨稻殼)","Higg Index (FEM)                                                                                                                                                                                        "
"=""1342""","八貫","無，無統計相關數據","",""
"=""1402""","遠東新","3.4000","生產事業21個生產據點","ISO 50001"
"=""1409""","新纖","無，無統計相關數據","","ISO 50001"
"=""1410""","南染","無，無統計相關數據","",""
"=""1413""","宏洲","0.0000","宏洲纖維工業股份有限公司桃園工廠",""
"=""1414""","東和","0.0000","本公司",""
"=""1416""","廣豐","無，無統計相關數據","",""
"=""1417""","嘉裕","無，無統計相關數據","",""
"=""1418""","東華","無，無統計相關數據","",""
"=""1419""","新紡","無，無統計相關數據","",""
"=""1423""","利華","無，目前無使用再生能源","",""
"=""1432""","大魯閣","無，無統計相關數據","",""
"=""1434""","福懋","0.4100","台灣廠區太陽能發電","ISO 50001"
"=""1435""","中福","無，無生產活動","",""
"=""1436""","華友聯","無，無統計相關數據","",""
"=""1437""","勤益控","無，無統計相關數據","",""
"=""1438""","三地開發","無，無統計相關數據","",""
"=""1439""","雋揚","無，無統計相關數據","",""
"=""1440""","南紡","0.0000","母公司","ISO 50001"
"=""1441""","大東","無，無統計相關數據","",""
"=""1442""","名軒","無，無統計相關數據","",""
"=""1443""","立益物流","無，無統計相關數據","",""
"=""1444""","力麗","0.0597","母公司各廠區",""
"=""1445""","大宇","無，無統計相關數據","",""
"=""1446""","宏和","無，無相關排放設備","",""
"=""1447""","力鵬","無，無統計相關數據","","ISO 50001"
"=""1449""","佳和","0.0000","母公司",""
"=""1451""","年興","3.9400","包含合併財務報表之母子公司",""
"=""1452""","宏益","0.0000","包含合併財務報表之母子公司",""
"=""1453""","大將","無，無統計相關數據","",""
"=""1454""","台富","無，無統計相關數據","",""
"=""1455""","集盛","無，未使用。","",""
"=""1456""","怡華","無，無統計相關數據","",""
"=""1457""","宜進","0.0000","宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司",""
"=""1459""","聯發","無，無統計相關數據","",""
"=""1460""","宏遠","0.0000","母公司","ISO 50001"
"=""1463""","強盛新","無，無統計相關數據","",""
"=""1464""","得力","無，無統計相關數據","",""
"=""1465""","偉全","無，NA","",""
"=""1466""","聚隆","無，無統計相關數據","","ISO 50001"
"=""1467""","南緯","無，目前未使用再生能源","",""
"=""1468""","昶和","無，無統計相關數據","",""
"=""1470""","大統新創","無，無統計相關數據","",""
"=""1471""","首利","無，無統計相關數據","",""
"=""1472""","三洋實業","無，本公司於111/5/11通過溫室氣體排放，因組織尚未完整，尚未決定由何單位及何種方式進行數據蒐集。","",""
"=""1473""","台南","28.0000","包含合併財務報表之母子公司",""
"=""1474""","弘裕","無，無統計相關數據","",""
"=""1475""","業旺","無，詳年報說明","",""
"=""1476""","儒鴻","0.5215","包含合併財務報表之母子公司","ISO 50001"
"=""1477""","聚陽","19.4196","範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd","ISAE3000                                                                                                                                                                                                "
"=""1503""","士電","無，無統計相關數據","",""
"=""1504""","東元","2.4600","台灣所有廠區",""
"=""1506""","正道","無，未採用其他再生能源","","                                                                                                                                                                                                        "
"=""1512""","瑞利","無，無統計相關數據","",""
"=""1513""","中興電","10.3735","(林口廠太陽能發電度)/年度總用電量953840/9195000*100%",""
"=""1514""","亞力","7.5232","母公司",""
"=""1515""","力山","無，資料尚在驗證","",""
"=""1516""","川飛","無，無統計相關數據","",""
"=""1517""","利奇","0.0000","彰化廠及南崗廠之電力",""
"=""1519""","華城","0.0355","僅母公司","ISO50001:2018                                                                                                                                                                                           "
"=""1521""","大億","無，無統計相關數據","",""
"=""1522""","堤維西","0.0000","台電電費單",""
"=""1524""","耿鼎","無，無統計相關數據","",""
"=""1525""","江申","無，無使用再生能源","",""
"=""1526""","日馳","無，無統計相關數據","",""
"=""1527""","鑽全","無，無統計相關數據","",""
"=""1528""","恩德","無，無統計相關數據","",""
"=""1529""","樂事綠能","無，無統計相關數據","",""
"=""1530""","亞崴","無，無統計相關數據","",""
"=""1531""","高林股","無，無統計相關數據","",""
"=""1532""","勤美","3.4828","勤美股份有限公司金屬成型事業處","ISO 50001：2018                                                                                                                                                                                         "
"=""1533""","車王電","無，用電完全使用外購電力","",""
"=""1535""","中宇","無，本公司非製造工廠，無法取得數據。","",""
"=""1536""","和大","6.4643","僅母公司","ISO 50001"
"=""1537""","廣隆","無，未使用再生能源","",""
"=""1538""","正峰","無，無統計相關數據","",""
"=""1539""","巨庭","無，無統計相關數據","",""
"=""1540""","喬福","無，無統計相關數據","",""
"=""1541""","錩泰","無，無統計相關數據","",""
"=""1558""","伸興","0.0000","合併財務報表之母子公司","ISO 50001"
"=""1560""","中砂","無，111年度進行綠電購買與設置評估作業，於112年將展開相關執行措施","","ISO 50001"
"=""1563""","巧新","N/A","N/A",""
"=""1568""","倉佑","0.0000","僅母公司",""
"=""1582""","信錦","無，無統計相關數據","",""
"=""1583""","程泰","無，無統計相關數據","",""
"=""1587""","吉茂","無，無統計相關數據","",""
"=""1589""","永冠-KY","0.4800","合併財務報表之母子公司","ISO 50001"
"=""1590""","亞德客-KY","2.1400","包含集團全部生產工廠及大陸地區全部銷售公司，已涵蓋集團95%以上之能源耗用量",""
"=""1597""","直得","2.1000","母公司",""
