報告年度:2023,議題:能源管理,,,
公司代號,公司名稱,使用率(再生能源/總能源)-使用率(再生能源/總能源),資料範圍-資料範圍,驗證標準-取得驗證
1101,台泥,0.06%,台灣及中國大陸水泥事業，包含台灣及中國大陸之水泥廠與營運辦公室、台灣製品廠(不含轄下發貨站)、萬青水泥、Hong Kong Cement,ISO 50001
1102,亞泥,0.01%,亞洲水泥個體公司,ISO 50001
1103,嘉泥,N/A,N/A,ISO 50001
1104,環泥,0.00%,母公司,確信準則3000號「非屬歷史性財務資訊查核或核閱之確信案件」
1108,幸福,N/A,N/A,N/A
1109,信大,N/A,N/A,N/A
1110,東泥,N/A,N/A,N/A
1201,味全,N/A,N/A,ISO 50001
1203,味王,N/A,N/A,N/A
1210,大成,0.00%,大成長城各事業處,N/A
1213,大飲,N/A,N/A,N/A
1215,卜蜂,0.14%,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N/A
1216,統一,0.00%,母公司,N/A
1217,愛之味,0.00%,N/A,N/A
1218,泰山,60.34%,食品廠,N/A
1219,福壽,N/A,N/A,ISO 50001
1220,台榮,N/A,N/A,N/A
1225,福懋油,0.00%,母公司,N/A
1227,佳格,N/A,N/A,N/A
1229,聯華,N/A,N/A,N/A
1231,聯華食,N/A,N/A,ISO 50001
1232,大統益,0.36%,僅母公司,N/A
1233,天仁,N/A,N/A,N/A
1234,黑松,1.36%,母公司(含台北總公司、中壢廠、斗六廠),ISO 50001
1235,興泰,N/A,N/A,N/A
1236,宏亞,5.00%,宏亞八德廠,N/A
1256,鮮活果汁-KY,N/A,N/A,N/A
1301,台塑,0.00%,母公司,N/A
1303,南亞,0.00%,僅母公司,ISO 50001
1304,台聚,0.00%,高雄廠,ISO 50001
1305,華夏,0.00%,華夏頭份總廠、台氯林園廠、華聚林園廠,ISO 50001
1307,三芳,63.00%,合併財務報表之母子公司,N/A
1308,亞聚,0.00%,林園廠,ISO 50001
1309,台達化,0.00%,前鎮廠、林園廠、頭份廠及中山廠,ISO 50001
1310,台苯,0.22%,高雄廠總用電量,N/A
1312,國喬,N/A,N/A,N/A
1313,聯成,N/A,N/A,N/A
1314,中石化,0.05%,生產廠區,ISO 50001
1315,達新,5.74%,母公司 ,N/A
1316,上曜,N/A,N/A,N/A
1319,東陽,N/A,N/A,N/A
1321,大洋,N/A,N/A,N/A
1323,永裕,N/A,N/A,N/A
1324,地球,N/A,N/A,N/A
1325,恆大,N/A,N/A,N/A
1326,台化,0.54%,112年台化及台醋公司之台灣廠區資料,N/A
1337,再生-KY,N/A,N/A,N/A
1338,廣華-KY,N/A,N/A,N/A
1339,昭輝,N/A,N/A,N/A
1340,勝悅-KY,N/A,N/A,N/A
1341,富林-KY,N/A,N/A,N/A
1342,八貫,N/A,N/A,N/A
1402,遠東新,5.00%,本公司生產事業21個生產據點,ISO 50001
1409,新纖,N/A,N/A,ISO 50001
1410,南染,N/A,N/A,N/A
1413,宏洲,N/A,N/A,N/A
1414,東和,N/A,N/A,N/A
1416,廣豐,N/A,N/A,N/A
1417,嘉裕,N/A,N/A,N/A
1418,東華,N/A,N/A,N/A
1419,新紡,N/A,N/A,N/A
1423,利華,N/A,N/A,N/A
1432,大魯閣,N/A,N/A,N/A
1434,福懋,0.62%,台灣廠區,ISO 50001
1435,中福,N/A,N/A,N/A
1436,華友聯,N/A,N/A,N/A
1437,勤益控,N/A,N/A,N/A
1438,三地開發,N/A,N/A,N/A
1439,雋揚,N/A,N/A,N/A
1440,南紡,0.59%,本公司個體,ISO 50001
1441,大東,N/A,N/A,N/A
1442,名軒,N/A,N/A,N/A
1443,立益物流,N/A,N/A,能源管理人員合格證書
1444,力麗,N/A,N/A,N/A
1445,大宇,N/A,N/A,N/A
1446,宏和,N/A,N/A,N/A
1447,力鵬,N/A,N/A,N/A
1449,佳和,N/A,N/A,N/A
1451,年興,N/A,N/A,N/A
1452,宏益,0.00%,包含合併財務報表之母子公司,N/A
1453,大將,N/A,N/A,N/A
1454,台富,2.00%,本公司,N/A
1455,集盛,N/A,N/A,N/A
1456,怡華,N/A,N/A,N/A
1457,宜進,N/A,N/A,N/A
1459,聯發,N/A,N/A,N/A
1460,宏遠,N/A,N/A,ISO 50001
1463,強盛,N/A,N/A,N/A
1464,得力,N/A,N/A,N/A
1465,偉全,N/A,N/A,N/A
1466,聚隆,N/A,N/A,ISO 50001
1467,南緯,N/A,N/A,N/A
1468,昶和,N/A,N/A,N/A
1470,大統新創,N/A,N/A,N/A
1471,首利,N/A,N/A,N/A
1472,三洋實業,N/A,N/A,N/A
1473,台南,N/A,N/A,N/A
1474,弘裕,N/A,N/A,N/A
1475,業旺,N/A,N/A,N/A
1476,儒鴻,1.33%,包含合併財務報表之母子公司,ISO 50001
1477,聚陽,41.00%,"聚陽股份有限公司(總公司)、 Leader Garments Corp.、 Moha Garments Co., Ltd.、 Triple Garment(Vietnam) Co., Ltd.、 Makalot Garments(Vietnam) Co., Ltd.、 Makalot Garments(Cambodia) Co., Ltd.、 PT. Glory Industrial Semarang、  PT. Starlight Garment Semarang、 Leader Garment(Vietnam) Co., Ltd.、 Jiaxing Ruiyang Garment Co.,  Ltd.、 Jiaxing Rising Garment Co., Ltd.、 Jiaxing Suntex Garment Co., Ltd.",ISAE3000
1503,士電,0.56%,僅母公司,N/A
1504,東元,6.37%,生產型台灣地區、大陸/越南地區、美國地區 、義大利地區及銷售型據點佔全集團營收佔比84.6%,N/A
1506,正道,N/A,N/A,N/A
1512,瑞利,N/A,N/A,N/A
1513,中興電,N/A,N/A,N/A
1514,亞力,6.00%,僅母公司，其中含總公司、新莊廠、楊梅廠,N/A
1515,力山,N/A,N/A,N/A
1516,川飛,N/A,N/A,N/A
1517,利奇,0.00%,利奇機械工業股份有限公司 總公司：彰化市石牌里石牌路一段112號 南崗廠：南投縣南投市南崗工業區工業南五路8號 ,N/A
1519,華城,0.00%,含合併財務報表之母子公司,ISO 50001
1521,大億,N/A,N/A,N/A
1522,堤維西,N/A,N/A,N/A
1524,耿鼎,N/A,N/A,N/A
1525,江申,N/A,N/A,N/A
1526,日馳,N/A,N/A,N/A
1527,鑽全,N/A,N/A,N/A
1528,恩德,N/A,N/A,N/A
1529,樂事綠能,N/A,N/A,N/A
1530,亞崴,N/A,N/A,ISO 50001
1531,高林股,35.67%,工廠使用的能源主要包括設備用能、電力使用、公務車及堆高機用能，而總公司主要能耗為電力使用。,N/A
1532,勤美,3.22%,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),ISO 50001
1533,車王電,N/A,N/A,N/A
1535,中宇,N/A,N/A,N/A
1536,和大,6.98%,僅母公司,ISO 50001
1537,廣隆,N/A,N/A,N/A
1538,正峰,N/A,N/A,N/A
1539,巨庭,N/A,N/A,N/A
1540,喬福,N/A,N/A,N/A
1541,錩泰,N/A,N/A,N/A
1558,伸興,N/A,N/A,ISO 50001
1560,中砂,0.60%,母公司,ISO 50001
1563,巧新,0.58%,僅母公司,ISO 50001
1568,倉佑,N/A,N/A,N/A
1582,信錦,N/A,N/A,N/A
1583,程泰,N/A,N/A,ISO 50001
1587,吉茂,N/A,N/A,N/A
1589,永冠-KY,1.66%,合併財務報表之母子公司,ISO 50001
1590,亞德客-KY,3.47%,考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2023 年合併營業收入達96%，亦達2023年度生產產值100%。,N/A
1597,直得,11.18%,樹谷廠,N/A
1598,岱宇,N/A,N/A,N/A
1603,華電,N/A,N/A,N/A
1604,聲寶,N/A,N/A,ISO 50001
1605,華新,1.47%,華新麗華股份有限公司個體公司及子公司( 包括上海華新、煙台華新),ISO 50001
1608,華榮,N/A,N/A,N/A
1609,大亞,0.95%,大亞公司(個體),ISO 50001
1611,中電,N/A,N/A,N/A
1612,宏泰,5.78%,僅母公司,N/A
1614,三洋電,N/A,N/A,N/A
1615,大山,N/A,N/A,N/A
1616,億泰,N/A,N/A,N/A
1617,榮星,N/A,N/A,N/A
1618,合機,N/A,N/A,N/A
1626,艾美特-KY,N/A,主要營運據點艾美特電器（深圳）有限公司、艾美特電器（九江）有限公司,N/A
