"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""1101""","台泥","5","5","100.00%","5","100.00%"
"=""1102""","亞泥","3","2","100.00%","5","100.00%"
"=""1103""","嘉泥","3","2","100.00%","3","95.24%"
"=""1104""","環泥","4","3","100.00%","4","100.00%"
"=""1108""","幸福","3","2","100.00%","3","100.00%"
"=""1109""","信大","3","2","100.00%","3","100.00%"
"=""1110""","東泥","3","3","100.00%","3","100.00%"
"=""1201""","味全","3","3","100.00%","3","100.00%"
"=""1203""","味王","3","2","100.00%","3","93.33%"
"=""1210""","大成","3","3","100.00%","3","100.00%"
"=""1213""","大飲","3","3","100.00%","3","100.00%"
"=""1215""","卜蜂","3","3","100.00%","3","100.00%"
"=""1216""","統一","4","4","100.00%","4","100.00%"
"=""1217""","愛之味","3","3","66.67%","3","80.00%"
"=""1218""","泰山","3","3","100.00%","3","100.00%"
"=""1219""","福壽","3","3","100.00%","3","100.00%"
"=""1220""","台榮","3","2","100.00%","3","94.00%"
"=""1225""","福懋油","3","3","100.00%","3","100.00%"
"=""1227""","佳格","3","3","83.00%","4","94.00%"
"=""1229""","聯華","3","2","100.00%","2","92.31%"
"=""1231""","聯華食","3","3","100.00%","3","100.00%"
"=""1232""","大統益","3","3","100.00%","3","100.00%"
"=""1233""","天仁","3","3","100.00%","3","100.00%"
"=""1234""","黑松","3","3","100.00%","3","94.44%"
"=""1235""","興泰","3","3","100.00%","3","100.00%"
"=""1236""","宏亞","4","4","90.00%","4","95.00%"
"=""1256""","鮮活果汁-KY","3","3","100.00%","3","100.00%"
"=""1301""","台塑","4","4","100.00%","4","100.00%"
"=""1303""","南亞","3","3","100.00%","3","100.00%"
"=""1304""","台聚","4","4","100.00%","4","100.00%"
"=""1305""","華夏","3","3","100.00%","3","75.00%"
"=""1307""","三芳","3","2","93.00%","3","100.00%"
"=""1308""","亞聚","3","3","100.00%","4","94.00%"
"=""1309""","台達化","3","3","100.00%","4","93.75%"
"=""1310""","台苯","4","4","100.00%","4","92.86%"
"=""1312""","國喬","2","2","100.00%","2","100.00%"
"=""1313""","聯成","3","3","100.00%","3","100.00%"
"=""1314""","中石化","3","2","100.00%","3","100.00%"
"=""1315""","達新","3","3","100.00%","3","100.00%"
"=""1316""","上曜","3","3","100.00%","4","100.00%"
"=""1319""","東陽","3","3","100.00%","3","100.00%"
"=""1321""","大洋","4","4","100.00%","4","100.00%"
"=""1323""","永裕","3","2","100.00%","4","100.00%"
"=""1324""","地球","3","3","100.00%","3","100.00%"
"=""1325""","恆大","3","3","100.00%","4","100.00%"
"=""1326""","台化","3","3","83.33%","3","93.33%"
"=""1337""","再生-KY","3","3","100.00%","3","100.00%"
"=""1338""","廣華-KY","3","3","100.00%","3","95.83%"
"=""1339""","昭輝","4","4","91.67%","4","93.75%"
"=""1340""","勝悅-KY","3","3","100.00%","3","100.00%"
"=""1341""","富林-KY","3","3","100.00%","3","100.00%"
"=""1342""","八貫","3","3","91.00%","3","94.00%"
"=""1402""","遠東新","3","2","100.00%","3","100.00%"
"=""1409""","新纖","3","3","100.00%","3","100.00%"
"=""1410""","南染","3","3","100.00%","4","95.00%"
"=""1413""","宏洲","3","3","100.00%","4","90.00%"
"=""1414""","東和","3","2","100.00%","3","100.00%"
"=""1416""","廣豐","3","3","100.00%","3","100.00%"
