報告年度:2023,議題:董事會,,,,,,
公司代號,公司名稱,董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席),獨立董事席次(席)-獨立董事席次(席),董事出席董事會出席率-董事出席董事會出席率,董事進修時數符合進修要點比率-董事進修時數符合進修要點比率,女性董事席次及比率-席,女性董事席次及比率-比率
1101,台泥,15,5,98.97%,100.00%,4,26.67%
1102,亞泥,15,5,94.52%,100.00%,2,13.00%
1103,嘉泥,7,3,98.41%,100.00%,1,14.29%
1104,環泥,7,4,100.00%,100.00%,1,14.29%
1108,幸福,7,3,100.00%,100.00%,2,28.57%
1109,信大,9,3,97.22%,33.33%,1,11.11%
1110,東泥,11,3,97.30%,100.00%,3,27.27%
1201,味全,9,3,97.80%,100.00%,0,0.00%
1203,味王,15,3,77.14%,20.00%,1,6.67%
1210,大成,8,3,97.73%,100.00%,0,0.00%
1213,大飲,9,3,98.00%,100.00%,1,11.10%
1215,卜蜂,8,3,98.43%,100.00%,0,0.00%
1216,統一,14,4,97.27%,100.00%,2,14.29%
1217,愛之味,9,3,84.44%,66.67%,0,0.00%
1218,泰山,9,3,94.00%,100.00%,2,22.20%
1219,福壽,9,3,94.29%,137.00%,2,22.00%
1220,台榮,13,3,97.00%,7.69%,2,16.67%
1225,福懋油,9,3,95.24%,100.00%,2,22.22%
1227,佳格,8,4,85.00%,100.00%,1,12.50%
1229,聯華,9,2,98.28%,100.00%,1,11.11%
1231,聯華食,9,3,98.40%,100.00%,2,22.22%
1232,大統益,11,3,96.97%,100.00%,0,0.00%
1233,天仁,9,3,97.78%,100.00%,0,0.00%
1234,黑松,13,3,93.59%,100.00%,2,15.38%
1235,興泰,7,3,97.14%,100.00%,1,14.29%
1236,宏亞,7,4,97.00%,100.00%,4,57.00%
1256,鮮活果汁-KY,8,3,98.00%,100.00%,1,12.50%
1301,台塑,15,4,94.19%,85.71%,2,13.33%
1303,南亞,15,3,97.78%,93.33%,2,13.00%
1304,台聚,9,4,92.59%,100.00%,0,0.00%
1305,華夏,8,3,91.43%,100.00%,0,0.00%
1307,三芳,7,3,91.00%,100.00%,0,0.00%
1308,亞聚,9,4,91.67%,100.00%,0,0.00%
1309,台達化,8,3,97.22%,100.00%,1,13.00%
1310,台苯,11,4,92.73%,100.00%,1,9.09%
1312,國喬,6,2,97.14%,100.00%,1,16.67%
1313,聯成,10,3,98.00%,100.00%,0,0.00%
1314,中石化,9,3,87.50%,100.00%,0,0.00%
1315,達新,9,3,96.67%,100.00%,0,0.00%
1316,上曜,7,4,100.00%,100.00%,3,42.86%
1319,東陽,7,3,96.83%,0.00%,1,14.29%
1321,大洋,10,4,100.00%,100.00%,2,20.00%
