報告年度:2023,議題:人力發展,,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1101,台泥,"1,139",973,994,871,18.90%,13,0.15%,,0,0,0
1102,亞泥,"1,299","1,188","1,083",941,23.00%,1,0.20%,亞泥花蓮廠2023年發生職業災害「粉塵逸散接觸眼睛」1件。改善方案如下： 1.除配戴安全面罩之外，仍應使用防護眼鏡，且預防起霧，並持續尋找更全面防護之防護面罩。 2.製作四方形通料孔用遮板，安裝於通料孔，以避免通料時大量粉塵衝出。,0,0,0
1103,嘉泥,"1,209",979,869,800,37.07%,4,0.95%,,0,0,0
1104,環泥,981,833,814,745,6.34%,3,0.63%,,1,0,0.00%
1108,幸福,701,573,593,516,28.57%,0,0.00%,無,0,0,0
1109,信大,815,676,683,650,12.50%,0,0.00%,,0,0,0
1110,東泥,899,713,763,673,33.00%,0,0.00%,,0,0,0
1201,味全,885,743,728,673,26.00%,2,0.15%,跌倒,0,0,0
1203,味王,658,567,600,574,12.50%,7,1.63%,分別為衝撞1件，跌倒2件，被夾、被捲2件，與有害物接觸1件，滑落受傷1件等事故。,0,0,0
1210,大成,883,743,756,634,20.82%,13,0.47%,,1,0,0.00%
1213,大飲,532,436,398,383,42.00%,0,0.00%,,0,0,0
1215,卜蜂,900,777,712,563,27.18%,25,1.00%,,0,0,0
1216,統一,"1,364","1,204","1,182","1,006",24.68%,1,0.02%,擦傷,0,0,0
1217,愛之味,768,638,682,583,26.09%,6,4.56%,,0,0,0
1218,泰山,779,620,595,547,4.20%,4,0.60%,,0,0,0
1219,福壽,809,671,665,606,10.90%,3,0.49%,職業災害類別為有害物接觸2件2人次、跌倒1件1人次，皆屬暫時全失能傷害。,1,0,0.00%
1220,台榮,760,648,621,578,3.47%,1,0.39%,,0,0,0
1225,福懋油,881,737,690,631,7.47%,0,0.00%,,0,0,0
1227,佳格,"1,176",953,829,736,38.36%,9,0.44%,,0,0,0
1229,聯華,"3,133","2,857",771,703,22.00%,0,0.00%,每年辦理員工免費健康檢查，預防職業災害與疾病。 每年定期進行職業安全衛生事項的宣導溝通、教育訓練及稽核。,0,0,0
1231,聯華食,845,705,687,595,41.49%,48,1.98%,2023年可記錄之職業災害共計48件共計29件，48人次受災，職業災害與嚴重職業災害類型，其中，火災件數為1件，死傷人數22人，占員工總人數的0.9%‧，跌/滑倒佔發生率的31.03%，屬作業面偏離標準作業程序所導致，目前藉由危險行為傷害案例之宣導來加強安全觀念；被切、割、擦傷佔發生率的17.24%，除持續進行安全宣導外，亦使用防切割手套，來降低接觸刀具刃部之風險；被夾/捲佔發生率之13.79%，已採取護罩、護蓋等控制措施來避免異常行為之發生，其他職災類型包含:與高溫、低溫之接觸、與有害物等之接觸、不當動作、衝撞、物體倒塌、飛落、墜落、滾落..等。,1,22,0.90%
1232,大統益,"1,960","1,729","1,576","1,392",26.09%,0,0.00%,,0,0,0
1233,天仁,540,451,621,530,71.74%,9,0.64%,2023年職業災害皆傷勢輕微，多為因操作不慎而導致的輕傷，未來將加強布達注意事項，提升全體員工安全意識,0,0,0
1234,黑松,994,824,837,756,17.98%,1,0.18%,割傷,0,0,0
1235,興泰,474,381,434,459,33.33%,0,0.00%,,0,0,0
1236,宏亞,613,503,527,462,57.00%,7,1.00%,切割、捲夾、跌倒,0,0,0
1256,鮮活果汁-KY,N/A,N/A,N/A,N/A,39.39%,18,1.73%,,0,0,0
1301,台塑,"1,545","1,362","1,364","1,238",7.80%,2,0.17%,,0,0,0
1303,南亞,"1,200","1,042","1,188","1,105",4.20%,4,0.04%,,0,0,0
1304,台聚,"1,395","1,156","1,219","1,110",1.10%,1,0.22%,墜落。2023年台聚發生職業傷害事故1件，修護人員於搭架爬梯跌落事故，因爬梯鎖固方式不當，造成人員攀爬爬梯旋轉位移以致跌落(直接原因)，經事故調查分析結果，人員使用施工架前未進行檢查(間接原因)，施工架未固定(基本原因)，故為避免危害再度發生，本廠請搭架廠商立即協助爬梯固定，重新檢查搭架各部位符合規定，並於施工架掛設檢點表，確實要求人員使用前進行施工架自主檢點，不可隨意變更搭架結構，另加強工安巡檢作業及人員作業安全觀念宣導等作為。,0,0,0
1305,華夏,"1,136",958,949,906,4.71%,5,0.60%,華夏頭份總廠於2023年共發生五起工安事故，分別為滑倒3件、壓傷1件、墜落1件，公司積極檢討事故原因、降低危害因子、預防再發生、提出因應對策及關懷員工。請參閱永續報告書CH6.4.1 職業安全管理-2023年事故傷害說明。,0,0,0
1307,三芳,"1,220","1,064",848,808,7.80%,12,2.10%,通勤交通職災6件 執行業務職災6件,0,0,0
1308,亞聚,"1,511","1,290","1,283","1,199",4.17%,0,0.00%,,0,0,0
1309,台達化,"1,231","1,035","1,031",968,19.64%,0,0.00%,,0,0,0
1310,台苯,"1,170",929,912,799,20.00%,0,0.00%,,0,0,0
1312,國喬,"1,137",976,891,798,30.00%,0,0.00%,,0,0,0
1313,聯成,"1,478","1,258","1,233","1,127",7.08%,2,1.49%,,0,0,0
1314,中石化,948,780,760,699,5.33%,2,0.17%,,0,0,0
1315,達新,770,649,624,558,45.65%,0,0.00%,,0,0,0
1316,上曜,"1,099",956,719,541,35.00%,0,0.00%,,0,0,0
1319,東陽,822,693,748,630,13.07%,1,0.03%,,0,0,0
1321,大洋,912,756,764,710,10.71%,10,2.21%,,0,0,0
1323,永裕,721,610,601,551,26.80%,4,0.57%,4件職業傷害，皆因員工設備操作不當因素致勞工遭受傷害。,0,0,0
1324,地球,708,586,587,481,32.14%,0,0.00%,,0,0,0
1325,恆大,618,502,506,465,66.67%,0,0.00%,,0,0,0
1326,台化,"1,540","1,319","1,352","1,229",4.87%,3,0.06%,,0,0,0
1337,再生-KY,N/A,N/A,N/A,N/A,14.29%,0,0.00%,N/A,0,0,0
1338,廣華-KY,N/A,N/A,N/A,N/A,21.70%,0,0.00%,,0,0,0
1339,昭輝,778,662,680,518,24.14%,2,0.72%,,0,0,0.00%
1340,勝悅-KY,N/A,N/A,N/A,N/A,5.00%,0,0.00%,,0,0,0
1341,富林-KY,N/A,N/A,N/A,N/A,28.00%,2,0.19%,,0,0,0
1342,八貫,837,739,652,518,50.00%,0,0.00%,N/A,0,0,0
1402,遠東新,"1,257","1,073",994,832,24.00%,44,0.22%,,0,0,0
1409,新纖,760,619,651,636,12.44%,4,0.00%,,0,0,0
1410,南染,"1,681","1,546",560,501,25.00%,0,0.00%,N/A,0,0,0
1413,宏洲,716,591,605,542,12.00%,0,0.00%,2024年度本公司無職災發生,0,0,0
1414,東和,588,469,487,453,17.65%,3,1.46%,,0,0,0
1416,廣豐,"1,530","1,337",845,855,40.00%,0,0.00%,,0,0,0
1417,嘉裕,790,670,569,540,50.00%,1,0.30%,,0,0,0
1418,東華,"1,116",963,602,521,19.44%,0,0.00%,,0,0,0
1419,新紡,907,763,701,596,44.00%,1,0.17%,,0,0,0
1423,利華,755,634,562,498,33.33%,0,0.00%,,0,0,0
1432,大魯閣,530,432,550,472,44.83%,2,0.00%,,0,0,0
1434,福懋,596,496,564,493,5.14%,8,1.46%,,0,0,0
1435,中福,"1,080",878,799,601,50.00%,0,0.00%,N/A,0,0,0
1436,華友聯,"1,282","1,086",942,837,50.00%,0,0.00%,,0,0,0
1437,勤益控,"4,013","3,730",772,455,71.43%,0,0.00%,,0,0,0
1438,三地開發,"1,101",955,467,436,25.00%,0,0.00%,無,0,0,0
1439,雋揚,"1,287","1,070",769,786,50.00%,0,0.00%,,0,0,0
1440,南紡,689,563,619,556,12.12%,8,3.16%,,0,0,0
1441,大東,"1,103",909,608,551,29.00%,0,0.00%,N/A,0,0,0
1442,名軒,"1,515","1,276","1,047","1,021",50.00%,0,0.00%,,0,0,0
1443,立益物流,920,769,657,650,20.62%,0,0.00%,N/A,0,0,0
1444,力麗,631,501,513,446,22.45%,3,0.18%,,0,0,0
1445,大宇,839,735,689,587,16.00%,0,0.00%,,0,0,0
