"報告年度:2024","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料邊界-資料邊界","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","產品生產過程所製造之有害廢棄物回收百分比-產品生產過程所製造之有害廢棄物回收百分比","有害廢棄物之百分比-有害廢棄物之百分比","驗證標準-取得驗證"
"=""1101""","台泥","557.6000","34,371.8400","34,929.4400","台灣與中國大陸水泥事業，包含台泥水泥廠、製品廠及轄下發貨站、粉磨站、辦公室，以及子公司萬青水泥、鳳勝實業、Hong Kong Cement、礦業公司、環保科技公司100%營運據點","0.5520","公噸/百萬元營業額","","","ISO 14001"
"=""1102""","亞泥","0.0000","3,461.0000","3,461.0000","母公司","0.3150","公噸/百萬元營業額","0.0000%","0.0000%","ISO 9001,ISO 14001"
"=""1103""","嘉泥","0.0000","414.4800","414.4800","已完成合併財務報表之母子公司。","0.1388","公噸/百萬元營業額","0.0000%","0.0000%","N/A"
"=""1104""","環泥","0.0000","6,359.0000","N/A","母公司","1.0358","公噸/百萬元營業額","","","N/A"
"=""1108""","幸福","0.0000","300.9300","300.9300","本公司東澳廠、埔心廠及和仁廠","N/A","N/A","N/A","N/A","N/A"
"=""1109""","信大","0.0000","104.4050","104.4050","母公司","0.0002","公噸/產品","0.0000%","0.0000%","N/A"
"=""1110""","東泥","0.0000","7.6100","7.6100","母公司。","0.0000","公噸/千元營業額","","","N/A"
"=""1201""","味全","0.7000","12,056.2000","12,056.9000","母公司6大單位:總部 中研所 營業所 台中廠 斗六廠 高雄廠","0.0866","公噸/產品","100.0000%","0.0055%","N/A"
"=""1203""","味王","3.0000","938.7000","941.7000","母公司","0.4200","公噸/百萬元營業額","0.0000%","0.3186%","N/A"
"=""1210""","大成","0.0000","116,217.9905","116,217.9905","大成長城母公司與台灣子公司","0.0690","公噸/產品","0.0000%","0.0000%","N/A"
"=""1213""","大飲","0.0000","23.8620","23.8620","永大環保、喜美環保","0.3038","公噸/百萬元營業額","0.0000%","0.0000%","N/A"
"=""1215""","卜蜂","0.0000","32,452.0300","32,452.0300","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","N/A","N/A","","","N/A"
"=""1216""","統一","2.0020","43,353.8291","43,355.8311","永康總廠、新市總廠(含冰品廠、冷調食品廠)、台中總廠、楊梅總廠(含瑞芳礦泉水廠)及中壢總廠 (含麻豆麵包廠)、TMR、物流倉庫、台北分公司、高雄辦公室、內湖辦公室、五股辦公室、湖口園區(含冰塊廠)等廠區","0.8505","公噸/百萬元營業額","0.0000%","0.0046%","N/A"
"=""1217""","愛之味","0.0000","2,364.0000","2,364.0000","愛之味股份有限公司","0.5600","公噸/百萬元營業額","0.0000%","0.0000%","N/A"
"=""1218""","泰山","4.7900","1,217.5200","1,222.3100","母公司","0.0000","公噸/百萬元營業額","","","N/A"
