"報告年度:2024","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","直接(範疇一)溫室氣體排放量-確信意見","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-確信意見","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-活動類別","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-確信意見","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量基準年及其數據、減量目標","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量策略及具體行動計畫","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量目標達成情形"
"=""1101""","台泥","39,544,430.9992","已完成合併財務報表之母子公司","母公司2024年直接排放量 ( 範疇一 ) 與能源間接排放量 ( 範疇二 ) 之數據，皆有委由第三方機構包含新加坡商英國標準協會集團私人有限公司台灣分公司（BSI）、台灣檢驗科技股份有限公司 (SGS) 進行查證，相關證書可至本公司官網永續認證頁面查看。合併財務報表之子公司已有95.5%完成確信。","合理保證等級","1,518,976.1776","已完成合併財務報表之母子公司","母公司2024年直接排放量 ( 範疇一 ) 與能源間接排放量 ( 範疇二 ) 之數據，皆有委由第三方機構包含新加坡商英國標準協會集團私人有限公司台灣分公司（BSI）、台灣檢驗科技股份有限公司 (SGS) 進行查證，相關證書可至本公司官網永續認證頁面查看。合併財務報表之子公司已有95.5%完成確信。","合理保證等級","19,338,064.3996","購買之商品及勞務","已完成母公司","母公司2024年直接排放量 ( 範疇一 ) 與能源間接排放量 ( 範疇二 ) 之數據，皆有委由第三方機構包含新加坡商英國標準協會集團私人有限公司台灣分公司（BSI）、台灣檢驗科技股份有限公司 (SGS) 進行查證，相關證書可至本公司官網永續認證頁面查看。合併財務報表之子公司已有95.5%完成確信。","有限保證等級","227.2668","台灣與中國大陸水泥廠以2016年為基準年，2016年排放強度為724公斤/噸膠結材料，目標2030年下降23.9%","台灣與中國大陸水泥廠依科學基礎減碳目標(Science Based Target, SBT)1.5度方法學、ISO IWA 42淨零指引，並參考IEA淨零路徑報告及2024年能源展望報告書，主要運用水泥製程中關鍵的替代熟料、替代原料、替代燃料、餘熱發電、製程改善、再生能源及碳捕獲做為減碳策略，碳匯部分自2023年啟動森林及土壤調查，作為淨零碳移除之可行方案。","台灣與中國大陸水泥廠2024年碳排強度631公斤/噸膠結材料，已達標"
"=""1102""","亞泥","21,078,502.0000","已完成合併財務報表之母子公司","在6/30前僅完成母公司、部分子公司(遠龍不銹鋼、嘉惠電力、亞東預拌)確信；合併子公司預計8月底前完成。","合理保證等級","964,217.0000","已完成合併財務報表之母子公司","在6/30前僅完成母公司、部分子公司(遠龍不銹鋼、嘉惠電力、亞東預拌)確信；合併子公司預計8月底前完成。","合理保證等級","98,847.0000","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）,營運中產生之廢棄物","已完成母公司","已完成母公司","合理保證等級","288.9100","為強化氣候治理與溫室氣體管理成效，以及上市櫃公司永續發展路徑圖規範，本公司針對納入合併財務報表之子公司推動溫室氣體減量計畫，協助子公司導入標準化之溫室氣體盤查作業流程，完成範疇1、範疇2之排放量盤查與確信，建立完整的碳排放基線資料。並依據各事業單位之範疇1及範疇2總排放量占比，再考慮營運地點之本地法規、營運條件，訂定具體減碳目標，目標涵蓋超過本公司90%溫室氣體排放。目標設定如下： (1) 母公司：以2019為基準年，針對範疇1+範疇2排放，設定至2030年每噸水泥膠結材料碳強度降至 0.657(噸CO2e/噸水泥膠結材料) ，2035年每噸水泥膠結材料碳強度降低至0.482(噸CO2e/噸水泥膠結材料)，2050年淨零碳排之目標。 (2) 亞泥(中國)：以2019為基準年，針對範疇1+範疇2排放，設定至2030年每噸水泥碳強度降至0.666(噸CO2e/噸水泥)，2035年每噸水泥碳強度降至0.659(噸CO2e/噸水泥)，2060碳中和之目標。 (3) 亞東預拌：以2021為基準年，針對範疇1+範疇2排放，設定至2030年每立方米混凝土碳強度降至2.92(公斤CO2e/立方米)，2035年每立方米混凝土碳強度降至2.7(公斤CO2e/立方米)之強度目標。 註：嘉惠電力排放約占本公司總排放量9%，然而嘉惠電力為獨立民營發電廠(Independent Power Producer, IPP)，所有發電度數均提供台電公司之電網調度使用，性質屬供電單位，用電戶用電造成的碳排係由用電戶負擔，非由供電單位承擔。","亞泥母公司：為達成2050年淨零排放目標，本公司制定短中長期減碳策略，短期以最佳可行技術為主，如:力行循環經濟降低熟料排放係數，生產低碳水泥降低水泥中熟料比例，降低直接排放、改善生產能耗降低間接排放，並持續關注及投入新創減碳技術之開發；中期將持續放大上述減碳措施，開發新輔助性膠結材料(Supplementary Cementing Materials, SCM)應用於低碳水泥，以求更大幅度地降低單位水泥排放；長期則在減碳措施皆已成熟完備的情況下，全力導入碳捕捉及利用技術(CCU)，來達成淨零最後的一哩路。 合併財務報告子公司：各事業單位需提出具體減碳目標及行動方案，包含：推動循環經濟、能源效率提升、設備汰舊換新、使用再生能源、導入能源管理系統等，並由本公司企業永續推行委員會下淨零碳排小組進行統籌監督與資源協調，各項減碳計畫執行進度。未來將持續提升各事業單位碳管理能力，積極達成各項減碳目標。","亞泥母公司：2024年範疇 1+2 碳排放強度為0.797，提前達成2025年SBTi目標0.807，展現卓越的減碳績效。範疇1排放強度為0.753，範疇2排放強度為0.044，相較基準年減碳量達58.7萬噸 CO2e。 亞泥(中國)：2024年範疇 1+2 碳排放強度為0.672，達成年度目標值0.699。 註：亞東預拌為2025起訂定目標，故達標狀況將於明年度揭露。"
"=""1103""","嘉泥","952.4150","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","6,824.9074","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","2,557.1492","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）,營運中產生之廢棄物,商務旅行,員工通勤,下游租賃資產,投資","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","2.6055","嘉新企業團於 2022 年以合併財務報告為邊界完成盤查，確立同年為基準年，其範疇一與範疇二排放量分別為 834.85 噸 CO2e 及 6,807.564 噸 CO2e。並設定逐年減碳5.25%，邁向2030年絕對減碳42%的SBT長期目標。","將持續加速設備汰換與提升能源使用效率，並擴大再生能源佈局，以穩健推動減碳目標之達成。","2024 年嘉新企業團的範疇一與範疇二合併排放目標為 6,839.96 噸 CO2e，實際排放量為 7,777.32 噸CO2e，達成率約為 87.95%。"
"=""1104""","環泥","40,126.4734","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","21,193.0224","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","13,078.4135","與燃料及能源相關活動（未納入範疇1或範疇2）","已完成母公司","N/A","","7.7092","依據金管會上市櫃公司永續發展路徑時程，本公司已於114年(2025)年3月完成集團(含子公司)盤查作業，故訂定113年(2024)年為減碳基準年，逐年減低碳排放量。","透過改善製程、綠電取代傳統能源、綠色運輸及定期檢修並汰換舊高耗電設備等構面，逐年減低產品碳排放量。","119年(2030)較基準年減量5%，129年(2040)較基準年減量60%，139年(2050)較基準年減量100%。"
"=""1108""","幸福","552,149.5000","已完成母公司","已完成母公司","合理保證等級","43,194.7500","已完成母公司","已完成母公司","合理保證等級","37,121.5900","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）","已完成母公司","已完成母公司","有限保證等級","122.5240","依東澳廠溫室氣體盤查公告基準年(102年)溫室氣體排放量759,327公噸CO2e/年， 減排政策如下： 1. 東澳廠每年度溫室氣量排放總量較基準年102年排放量減少10%以上。 2. 2025年開始，東澳廠將依據環境部自主減量計畫，2030年度較基準年2(2018-2022年平均值)，減排5%以上。 3.使用綠電轉供作業(幸福球場)。","1. 2025~2030年 (1)採取方案: 配合環境部【自主減量計劃管理辦法】研擬相關減量措施。 (2)基準年排放量:以2018~2022年平均值為基準。 (3)計畫目標削減率：2030年較基準年排放量減少5%以上，分年累積減少之溫室氣體排放量大於10萬噸。 (4)關鍵推動措施：替代燃料、替代原料、低碳水泥、煤磨改造。 2. 2030-2050年 水泥窯技改、餘熱發電、CCUS(碳捕捉、碳封存)技術，低碳水泥的產品結構設計。","依東澳廠溫室氣體盤查公告基準年(102年)溫室氣體排放量759,327公噸CO2e/年，113年度溫室氣體溫室氣體排放量583,167公噸CO2e/年，減排23.2%。"
"=""1109""","信大","1,201,276.8550","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","70,550.2344","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","27,567.3000","與燃料及能源相關活動（未納入範疇1或範疇2）","已完成母公司","已完成母公司","有限保證等級","279.0622","本公司之母公司範圍邊界以 111 年度作為基準年，直接排放量（範疇一）479,891.48（公噸 CO₂e）、能源間接排放量（範疇二）37,922.41（公噸 CO₂e）。 "," 本公司擬定相對指標，以基準年為標準每兩年減量 10%目標為 119 年溫室氣體排放量相較 111 年減少 50% 碳排，目前本公司除針對製程設備更新改善提升生產效能外，製程中使用「替代原料」(氣冷爐石、氟化鈣、焚化水洗飛灰、焚化再生粒料、燃煤飛灰)，以氧化鈣替代碳酸鈣，減少石灰石用量；「替代燃料」部分，刻正研究試用項目；使用「替代熟料」，減少單位水泥之熟料量，以達減少製程碳排。"," 113年減碳約 1.77 萬噸 CO₂e，佔整年度約 3%，符合目標。 "
"=""1110""","東泥","530.4001","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","988.2296","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","379.0222","與燃料及能源相關活動（未納入範疇1或範疇2）,營運中產生之廢棄物,員工通勤","已完成合併財務報表之母子公司","已完成母公司","有限保證等級","0.3800","本公司113 年溫室氣體排放量以減少較112 年之年排放量30%為目標，並逐年下 降，盼能於139年達成淨零排放之目標。因高雄廠於112年底停止生產，113 年 較112 年減少94%溫室氣體排放量，113 年已達減碳設定目標。","面臨環保重大且嚴肅議題，污染防制是國際關注議題，廢氣、廢水及廢棄物的有 效管理，能源使用產生之溫室氣體排放對環境影響甚鉅，公司未來將面對相關潛 在的營運風險，進行相關能源管理及節能減碳措施，以符合環保法規要求。 本公司面對全球環保議題的嚴峻挑戰，積極推動污染防制與溫室氣體減量政策， 並強化廢氣、廢水及廢棄物的管理。針對能源使用所導致之碳排放，公司已著手 導入節能減碳措施，以符合法規並降低未來營運風險。 •高雄廠於112年底停止生產，高排放製程全面結束。 •自112年8月20日起啟用高雄港45號碼頭發貨站，公司成功轉型為水泥通路商， 以外購成品進行分裝與發貨，取代自有生產。 •113年較112年溫室氣體排放量減少94%，大幅度達成年度減碳目標。 •此轉型有效推動企業邁向永續經營及淨零排放之願景，展現高度企業社會責任 與環境承諾。 響應綠色環保的辦公環境，辦公用品紙張、衛生紙品及清潔用品，優先購買環保 標章綠色產品，減少溫室氣體排放從日常生活做起。  ","能源管理 • 高雄港出貨站的水泥成品，皆經海運由台灣東部水泥廠供應，並無生產製程，僅 有成品出貨的分裝程序能源消耗大幅降低。 溫室氣排放管理 • 本公司溫室氣體排放量113 年較112 年減少94%。 廢棄物管理 • 高雄港發貨站的出貨作業程序已簡化，故不再涉及事業廢棄物問題。本公司出廠 之袋裝水泥由經銷商負責回收；在出貨過程中，破損紙袋及太空包則交由供應商 回收。此外，生活垃圾則由水泥專區委託的環保廠商統一處理。"
"=""1201""","味全","14,182.2196","已完成母公司","N/A","","20,787.3110","已完成母公司","N/A","","N/A","","N/A","N/A","","4.1997","根據金管會要求味全母公司須於2027年完成查證, 預計以查證完成的數據的第一年(即2026年碳排量)為基準年, 以年減碳排密集度(公噸CO₂e/百萬元營業額)1%為目標。","(1) 汰換老舊冰水機,冷凍機…等等冷藏冷凍設備,減少冷媒更換的排放。 (2) 汰換舊的營業車輛為省油的新車, 以減少範疇一排放。 (3) 汰換老舊空壓機, 換為變頻機型提高效率及減少用電。 ","目前尚未訂定基準年, 將以查證完成的數據的第一年(即2026年碳排量)為基準年, 以年減碳排密集度(公噸CO₂e/百萬元營業額)1%為目標。"
"=""1203""","味王","6,211.0060","已完成母公司","N/A","","4,195.0170","已完成母公司","N/A","","N/A","","N/A","N/A","","4.6770","114年度減量目標4.655公噸/百萬元","1.推廣節能活動，如：辦理教育訓練。 2.照明設備由傳統T8改為LED T8省電燈具。 3.擴大低碳燃料使用，增設天然氣管線，由燃油鍋爐改為燃氣鍋爐。 4.擴大再生能源使用，增設太陽光電裝置容量。 ","114年度預估減少4.81％"
"=""1210""","大成","40,278.4728","已完成母公司","N/A","","79,001.8860","已完成母公司","N/A","","1,396,771.6870","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物","已完成母公司","N/A","","66.0811","每年於董事會進行報告，主要內容為訂定對應策略與工作方針、編列各組織與永續發展相關預算、規劃並執行年度方案，同時追蹤執行成效。","1.溫室氣體減量:2025年較基準年減少1%；2030年較基準年減量5% 。 2.能源管理:2025年較基準年減少1%；2030年較基準年減量3% 。 3.廢棄物回收例:維持85% 以上 。 4.再生能源比例:未來持續評估太陽能自發自用可行性、購買綠電憑證或儲能設備。","1.能源管理:每年減量1%。 2.廢棄物回收例85%以上。 3.已開始設置太陽能自發自用設備，約1000KW設置容量。"
