"報告年度:2024","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""1101""","台泥","3","https://www.tccgroupholdings.com/tw/esgStakeholder.html"
"=""1102""","亞泥","3","https://www.acc.com.tw/esg/stakeholders"
"=""1103""","嘉泥","4","www.chcgroup.com.tw/index.php?route=system/system&id=89"
"=""1104""","環泥","2","http://www.ucctw.com/m/412-1518-12822.php?Lang=zh-tw"
"=""1108""","幸福","1","http://www.luckygrp.com.tw/tw/index.asp?au_id=66&sub_id=79"
"=""1109""","信大","1","http://www.hsingta.com.tw/Aboutusdetail.asp?lv=-1&id=14"
"=""1110""","東泥","2","http://www.southeastcement.com.tw/index.php?q=node/175"
"=""1201""","味全","1","https://www.weichuan.com.tw/tw/sustainability/stakeholder#gsc.tab=0"
"=""1203""","味王","1","https://www.vewong.com/ec99/ushop20069/profile-9.asp"
"=""1210""","大成","4","https://www.dachan.com/shareholder"
"=""1213""","大飲","1","http://applesidra.com.tw"
"=""1215""","卜蜂","2","https://www.cptwn.com.tw/ec99/rwd1785/category.asp?category_id=29"
"=""1216""","統一","4","https://www.uni-president.com.tw/"
"=""1217""","愛之味","2","www.agv.com.tw"
"=""1218""","泰山","2","https://www.taisun.com.tw/corporate/stakeholder/"
"=""1219""","福壽","1","http://www.fwusow.com.tw/information/itemlist/category/52.html"
"=""1220""","台榮","2","https://www.tairoun.com.tw/stake-holder.php"
"=""1225""","福懋油","1","WWW.FOPCO.COM.TW"
"=""1227""","佳格","1","https://www.sfworldwide.com/new-esg-199-203"
"=""1229""","聯華","2","https://www.lhicholdings.com/csr/index/crs-stakeholder/"
"=""1231""","聯華食","1","https://www.lianhwa.com.tw/column_list.php?content_category_sn=423"
"=""1232""","大統益","1","https://www.ttet.com.tw/index.php?temp=investors&lang=cht"
"=""1233""","天仁","1","http://www.tenren.com.tw/Content/IRContactUS/Contact.aspx?SiteID=10&MmmID=654044433016605753"
"=""1234""","黑松","2","http://www.heysong.com.tw/Stakeholder/Stakeholder"
"=""1235""","興泰","1","http://www.goldenbrand.com.tw/stakeholder.php"
"=""1236""","宏亞","1","https://csr.hunya.com.tw/"
"=""1256""","鮮活果汁-KY","2","https://www.sunjuice.com/category/stakeholders.html"
"=""1301""","台塑","4","http://www.fpc.com.tw/fpcw/index.php?op=res&id=18"
"=""1303""","南亞","4","http://www.npc.com.tw/j2npc/zhtw/stakeholder.jsp"
"=""1304""","台聚","4","https://www.usife.com.tw/ESG/zh-tw/ESG13.aspx"
"=""1305""","華夏","4","https://www.cgpc.com.tw/ESG/tw/issue-SDGs.aspx"
"=""1307""","三芳","1","http://www.sanfang.com.tw/main/ems_c01.asp"
"=""1308""","亞聚","2","https://www.apc.com.tw/ESG/zh-tw/ESG13.aspx"
"=""1309""","台達化","2","https://www.ttc.com.tw/zh-tw/dirCSRnew/frmStakeholder.aspx"
"=""1310""","台苯","1","http://www.smct.com.tw/contact/contactUs"
"=""1312""","國喬","2","http://www.gppc.com.tw/gppc/Investment-2.asp"
"=""1313""","聯成","2","https://www.upc.com.tw/zh-TW/Html/stakeholder_engagement"
"=""1314""","中石化","2","https://reurl.cc/9vkEQa"
"=""1315""","達新","1","www.tahhsin.com.tw"
"=""1316""","上曜","2","www.sunyad.com.tw"
"=""1319""","東陽","7","https://www.tyg.com.tw/traditiona-relationship.html"
"=""1321""","大洋","1","https://www.opc.com.tw/zh-tw/a2/%E6%8A%95%E8%B3%87%E6%9C%8D%E5%8B%99.html"
"=""1323""","永裕","1","http://www.yonyu.com.tw/yonyu/stakeholder.php"
"=""1324""","地球","2","https://www.globetape.com/investor/corporate-governance/project/communicate-2"
"=""1325""","恆大","1","www.uk.com.tw"
"=""1326""","台化","2","https://www.fcfc.com.tw/data-22337"
"=""1337""","再生-KY","1","http://asia-recycle.com(設置中)"
"=""1338""","廣華-KY","2","www.hirosawa.com.cn"
"=""1339""","昭輝","2","http://www.yccco.com.tw/index.php?action=public-link"
"=""1340""","勝悅-KY","1","www.vnm.com.tw"
"=""1341""","富林-KY","1","http://www.fulinvn.com/tc/investor_detail.php?PKey=101"
"=""1342""","八貫","1","http://www.cathayconsolidated.com"
"=""1402""","遠東新","6","https://csr.fenc.com/Identification-of-Stakeholders-and-Topics?lang=zh"
"=""1409""","新纖","2","https://www.shinkong.com.tw/front/investors"
"=""1410""","南染","1","http://www.nydf.com.tw/#[object%20Object]"
"=""1413""","宏洲","1","http://www.hungchou.com.tw/"
"=""1414""","東和","1","http://www.tungho.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=244&index=1"
"=""1416""","廣豐","1","http://www.kfic.com.tw/shareholders.html"
"=""1417""","嘉裕","1","https://www.carnival.com.tw/article_d.php?lang=tw&tb=8&id=823"
"=""1418""","東華","1","www.tonghwa.com.tw"
"=""1419""","新紡","1","http://www.sktextile.com.tw"
"=""1423""","利華","1","www.reward.com.tw/contact.htm"
"=""1432""","大魯閣","2","https://www.taroko.com.tw/crs-stakeholder-01/"
"=""1434""","福懋","2","https://www.ftc.com.tw/newftc/reflect.htm"
"=""1435""","中福","1","www.chungfutex.com.tw"
"=""1436""","華友聯","1","https://www.huakai.com.tw/blank-17"
"=""1437""","勤益控","2","http://www.gtm.com.tw/web/stakeholder/stakeholder.jsp"
"=""1438""","三地開發","1","http://www.sandirealestate.com.tw/atjRSZaIiOiKHOCS"
"=""1439""","雋揚","3","https://www.ascentglobal.com.tw/tw/governance/stakeholder"
"=""1440""","南紡","2","https://www.tainanspin.com.tw/index.php?option=module&lang=cht&task=showlist&id=69&index=1"
"=""1441""","大東","1","investors.tahtong.com.tw/index.htm"
"=""1442""","名軒","1","https://www.advancetek.com.tw/利害關係人專區"
"=""1443""","立益物流","1","www.lily.com.tw"
"=""1444""","力麗","1","https://www.lealeagroup.com.tw/project/"
"=""1445""","大宇","1","https://www.universal-tex.com/stakes.aspx"
"=""1446""","宏和","1","www.hongho.com.tw"
"=""1447""","力鵬","1","https://www.lealeagroup.com.tw/project/49/66/"
"=""1449""","佳和","2","www.chgtex.com"
"=""1451""","年興","1","https://www.nhjeans.com/投資人關係/利害關係人專區/?lang=zh-hant"
"=""1452""","宏益","1","https://www.hongyilon.com.tw/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA%E5%B0%88%E5%8D%80"
"=""1453""","大將","1","http://www.tajiang.com.tw/finance_info.aspx?tag_id=T0022"
"=""1454""","台富","4","http://www.ttfco.com"
"=""1455""","集盛","2","http://www.zigsheng.com/corporate-social-responsibility-zh/sustainable-business-zh/#stakeholders"
"=""1456""","怡華","1","http://www.ihwa.com.tw/stakeholders.html"
"=""1457""","宜進","1","www.yijinn.com.tw/interested-parties"
"=""1459""","聯發","2","http://main.lanfa.com.tw/index.php/2019-11-12-17-45-00"
"=""1460""","宏遠","1","https://esg.everest.com.tw/tw"
"=""1463""","強盛新","1","www.csgroup.com.tw"
"=""1464""","得力","2","http://www.delicacy.com.tw/zh-tw/Investor/投資人服務窗口/利害關係人專區"
"=""1465""","偉全","1","https://sites.google.com/view/wisher-ch/利害關係人"
"=""1466""","聚隆","1","https://www.acelon.com.tw/zh-tw/stakeholder-contact"
"=""1467""","南緯","1","www.texray.com"
"=""1468""","昶和","2","www.chang-ho.com.tw/content/"
"=""1470""","大統新創","2","www.evertex.tw/tw/about/永續發展/利害關係人專區"
"=""1471""","首利","1","www.soly-tech.com/stakeholders.htm"
"=""1472""","三洋實業","1","https://reurl.cc/MjMnXL"
"=""1473""","台南","2","https://www.tai-nan.com/stakeholder-survey.php"
"=""1474""","弘裕","2","http://www.textile-hy.com.tw/利害關係人.htm"
"=""1475""","業旺","1","http://www.big-sunshine.com.tw"
"=""1476""","儒鴻","6","http://www.eclat.com.tw/zh-tw/investors/"
"=""1477""","聚陽","30","https://www.makalot.com.tw/contact-us"
"=""1503""","士電","1","https://www.seec.com.tw/Content/Messagess/contents.aspx?SiteID=10&MmmID=1307577075012432241"
"=""1504""","東元","13","https://www.teco.com.tw/esg/?gid=1&nid=919"
"=""1506""","正道","1","https://www.rightway.com.tw/index.php?temp=investor&lang=cht"
"=""1512""","瑞利","1","http://www.juili.com.tw/c/inv_6.htm"
"=""1513""","中興電","2","WWW.CHEM.COM.TW/A_CONTACT.ASPX"
"=""1514""","亞力","1","https://goo.gl/Dc81zK"
"=""1515""","力山","2","https://www.rexon.net/esg-survery.php"
