報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
1101,台泥,"1,185","1,045","1,003",0.91%,877,0.69%,19.00%,30歲以下(不含)0.98%、30-50歲1.91%、50歲以上(不含)0.04%,30歲以下(不含)2.06%、30-50歲7.22%、50歲以上(不含)1.76%,台泥積極促進不同世代的溝通和協作，提升合作與互動關係，高齡員工採退休回聘與匠人團雙軸晉用：退休回聘係針對專案需求回聘退休同仁，提供專業見解和指導。2024年回聘20位；匠人團源於台泥觀察到退休員工基於自我實現或經濟考量，常有回歸職場之期待，規劃2025年成立匠人團，協助退休前輩維持生活重心與成就感來源，並將結合政府中高齡就業計畫，彈性調整策略。
1102,亞泥,"1,349","1,248","1,132",4.52%,988,4.99%,22.00%,30歲以下佔33%，30~50歲佔9%，50歲以上佔1%。,30歲以下佔36%，30~50歲佔7%，50歲以上佔10%。,亞泥將退休人員視為公司重要的資產，本公司主動回聘已退休的資深員工，期望透過知識、技術與經驗的傳承，將專業價值轉換為公司的核心競爭力。透過跨世代的工作合作與互動溝通，形成青銀世代合作模式，促進員工多元與包容，打造友善職場環境。2024年共計回聘1位。
1103,嘉泥,"1,509","1,269","1,099",26.47%,"1,023",27.88%,34.71%,,,依據公司人權政策，在多元包容性與確認保工作機會均等下，禁止年齡歧視，保障中高齡者勞動權益，建構友善就業環境。包含召募、任用、考核及訓練等，機會均等。
1104,環泥,996,847,850,4.42%,792,6.31%,2.44%,,,
1108,幸福,718,574,595,0.34%,523,1.36%,33.33%,,,
1109,信大,823,676,681,-0.29%,651,0.15%,9.09%,113年度新進員工年齡分布比率分別為: 未滿30歲 17.86%、30歲以上未滿50歲 9.84%、50歲以上3.15%。,113年度離職員工年齡分布比率分別為: 未滿30歲 7.14%、30歲以上未滿50歲 9.29%、50歲以上8.66%。,N/A
1110,東泥,"1,081",880,768,0.66%,729,8.32%,4.00%,30歲以下:1人 30-50歲:5人 51歲以上:4人,30-50歲:6人 51歲以上:6人,為因應人口高齡化趨勢，善用高齡人才之經驗與技能，並促進勞動參與及企業永續發展，本公司積極支持高齡員工繼續留任與再就業，並提供適切的培訓與發展機會，協助其持續貢獻所長。 一、適用對象 凡年滿65歲以上之在職員工退休後有意願繼續服務之人員，經勞資協議後適用本政策。 二、政策內容 1.持續僱用機制:     依員工個人意願及公司業務需求，提供退休延後工作機會。     針對具關鍵技術、專業知識或豐富經驗之員工，優先考量續聘安排。     訂立個別工作協議，明確雙方權利與義務。 2.工作調整與支持措施     視高齡員工身心狀況及工作性質，適當調整工作內容、工時或工作環境。     提供職務再設計，讓高齡員工能專注於經驗傳承、技術指導、內部顧問等角色。     配合勞工健康保護相關規定，安排定期健康檢查與工作適性評估。 三、培訓計劃 1.定期提供專業技能及安全操作課程，確保高齡員工保持技術水準與工作安全。 2.鼓勵高齡員工擔任內部技術導師，協助培育年輕員工。 3.建立經驗傳承機制，將寶貴技術與經驗系統化保存與流通。  
1201,味全,936,775,789,8.38%,729,8.32%,26.90%,30歲以下 11%、31-50歲14%、50歲以上2%,30歲以下 8%、31-50歲13%、50歲以上5%,
1203,味王,689,598,620,3.33%,592,3.14%,27.30%,30歲以下者16人，約佔2.3％； 30至50歲者36人，約佔5.1％； 50歲以上者4人，約佔0.6％,30歲以下者10人，約佔1.4％ 30至50歲者25人，約佔3.5％ 50歲以上者30人，約佔4.2％,無
1210,大成,900,753,784,3.70%,666,5.05%,23.84%,30歲以下：279人 30~40歲：175人 40~50歲：118人 50歲以上：50人,30歲以下：105人 30~40歲：92人 40~50歲：65人 50歲以上：0人,無
1213,大飲,554,461,421,5.78%,398,3.92%,4.00%,49.6,49,無此計劃
1215,卜蜂,955,823,729,2.39%,507,-9.95%,33.76%,30歲以下:32% 30歲至50歲:59% 50歲以上:9%,30歲以下:26% 30歲至50歲:59% 50歲以上:15%,
1216,統一,"1,365","1,190","1,220",3.21%,"1,041",3.48%,25.32%,30歲以下：64.74%；31-50歲：34.17%；51歲以上：1.12%。,30歲以下：27.27%；31-50歲：29.78%；51歲以上：42.95%。,無
1217,愛之味,795,662,699,2.49%,603,3.43%,33.72%,,,
