報告年度:2024,議題:職業安全衛生,,,,,,
公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1101,台泥,18,0.21%,2024年台灣及中國大陸之輕傷工傷事故發生原因分別為捲夾、物體飛落、墜落，事發後台泥針對原因進行瞭解，針對工傷易發場域加強巡檢，提升訪廠頻率及增設教育訓練等，避免同樣事故再發，以期落實「零工傷」目標。,0,0,0
1102,亞泥,2,0.40%,兩件為製造廠區發生員工遭壓傷、捲入，所幸無發生因職業傷害造成死亡。矯正預防措施如下： 壓傷：變更工法；增加長筒安全鞋保護腳踝；強化教育訓練增加安全意識。 捲入：於螺運機檢查孔蓋裝設定位感應器自動通知主管及職安組；修訂作業標準；強化教育訓練。,1,0,0.00%
1103,嘉泥,2,0.47%,,0,0,0.00%
1104,環泥,3,0.61%,,0,0,0
1108,幸福,1,2.78%,跌傷,0,0,0
1109,信大,0,0.00%,N/A,0,0,0
1110,東泥,0,0.00%,,0,0,0
1201,味全,2,0.14%,被夾、被捲及跌倒,0,0,0
1203,味王,6,3.12%,衝撞1件，跌倒1件，被夾、被捲3件，無法歸類1件等事故,0,0,0
1210,大成,14,0.49%,跌倒：4件 被捲/被夾：2件 物體飛落：2件 與高溫、低溫之接觸：2件 與有害物接觸：1件 被撞：1件 墜落、滾落：1件 其他、無法歸類者：1件,0,0,0
1213,大飲,0,0.00%,,0,0,0
1215,卜蜂,16,0.65%,,0,0,0
1216,統一,5,0.08%,夾捲2，跌倒1，被撞1，高溫接觸1,0,0,0
1217,愛之味,6,4.53%,,1,0,0.00%
1218,泰山,0,0.00%,,0,0,0
1219,福壽,6,0.92%,職業災害類別為跌倒3件、跌落1件、被刺、割1件及擦傷1件。,1,0,0.00%
1220,台榮,1,0.42%,,0,0,0
1225,福懋油,1,0.42%,,0,0,0
1227,佳格,18,1.75%,,0,0,0
1229,聯華,1,0.00%,職業傷害（墜落）,0,0,0
1231,聯華食,27,0.01%,,0,0,0
1232,大統益,0,0.00%,,0,0,0
1233,天仁,15,1.06%,多為因操作不慎而導致的輕傷、燒燙傷，以及上下班交通事故，但無發生任何職業病或因公死亡之事件，未來將加強宣導交通注意事項，提升全體員工安全意識。,0,0,0
1234,黑松,1,0.17%,夾傷。,0,0,0
1235,興泰,0,0.00%,,0,0,0
1236,宏亞,15,13.70%,機器操作造成的夾傷,0,0,0
1256,鮮活果汁-KY,9,0.99%,,0,0,0
1301,台塑,5,0.42%,,0,0,0
1303,南亞,9,0.04%,,2,0,0.00%
1304,台聚,0,0.00%,無,0,0,0
1305,華夏,0,0.00%,無,2,0,0.00%
1307,三芳,1,1.02%,,0,0,0
1308,亞聚,0,0.00%,亞聚2024年無職業災害發生。,0,0,0
1309,台達化,0,0.00%,無,0,0,0
1310,台苯,0,0.00%,無,0,0,0
1312,國喬,1,0.27%,,0,0,0
1313,聯成,5,4.27%,,0,0,0
1314,中石化,1,0.09%,與高溫、低溫之接觸,0,0,0
1315,達新,0,0.00%,,0,0,0
1316,上曜,0,0.00%,,0,0,0
1319,東陽,0,0.00%,,0,0,0
1321,大洋,6,1.35%,,0,0,0
1323,永裕,4,0.57%,,0,0,0
1324,地球,0,0.00%,,0,0,0
1325,恆大,0,0.00%,,0,0,0
1326,台化,4,0.10%,,0,0,0
1337,再生-KY,0,0.00%,,0,0,0
1338,廣華-KY,0,0.00%,,0,0,0
1339,昭輝,0,0.00%,NA,0,0,0.00%
1340,勝悅-KY,0,0.00%,,0,0,0
1341,富林-KY,7,0.66%,,0,0,0
1342,八貫,0,0.00%,,0,0,0
1402,遠東新,27,0.13%,,1,0,0.00%
1409,新纖,1,0.05%,,0,0,0
1410,南染,2,2.08%,,0,0,0
1413,宏洲,0,0.00%,無,0,0,0
1414,東和,0,0.00%,,0,0,0
1416,廣豐,0,0.00%,,0,0,0
1417,嘉裕,3,1.11%,上下班途中發生意外,0,0,0
1418,東華,0,0.00%,,0,0,0
1419,新紡,0,0.00%,,0,0,0
1423,利華,0,0.00%,,0,0,0
1432,大魯閣,10,0.01%,,0,0,0
1434,福懋,9,1.73%,,0,0,0
